D;Delta;env;chi;eng
2;0.2339564710456148;BP;1;-243.51713839975815
4;0.0920667806361415;BP;1;-243.27090093108788
8;0.06839907585279507;BP;1;-243.19311378035607
16;0.05354313500870495;BP;1;-243.1202868739697
32;0.03941812465862581;BP;1;-243.04164371439376
2;0.2339564710456148;CTM;2;-243.51713047499436
2;0.2339564710456148;MPS;2;-243.5171288828163
2;0.2339564710456148;CTM;4;-243.51713049531247
2;0.2339564710456148;MPS;4;-243.51712852327412
2;0.2339564710456148;CTM;8;-243.51713049531247
2;0.2339564710456148;MPS;8;-243.51712852327404
4;0.0920667806361415;CTM;2;-243.27041768480882
4;0.0920667806361415;MPS;2;-243.27121946051784
4;0.0920667806361415;CTM;4;-243.27067690241932
4;0.0920667806361415;MPS;4;-243.27111393167573
4;0.0920667806361415;CTM;8;-243.2706796215869
4;0.0920667806361415;MPS;8;-243.27108633447148
8;0.06839907585279507;CTM;2;-243.19293024254011
8;0.06839907585279507;MPS;2;-243.19307784404901
8;0.06839907585279507;CTM;4;-243.19260471133504
8;0.06839907585279507;MPS;4;-243.1913910029343
8;0.06839907585279507;CTM;8;-243.1922821080029
8;0.06839907585279507;MPS;8;-243.19070469329438
16;0.05354313500870495;CTM;2;-243.12065707799113
16;0.05354313500870495;MPS;2;-243.12105666260618
16;0.05354313500870495;CTM;4;-243.1216108562784
16;0.05354313500870495;MPS;4;-243.1208495170758
16;0.05354313500870495;MPS;8;-243.12066818986258
16;0.05354313500870495;CTM;8;-243.1196637885514
32;0.03941812465862581;MPS;2;-243.03793652522447
32;0.03941812465862581;CTM;2;-243.04279477416995
32;0.03941812465862581;MPS;4;-243.0076278830487
32;0.03941812465862581;CTM;4;-243.04357163023738
32;0.03941812465862581;MPS;8;-243.03906584773054
64;0.025669173162215585;BP;1;-242.96941033478595
