D;Delta;env;chi;eng
4;0.03908388150650381;BP;1;-134.7815235858698
2;0.14016966780904966;BP;1;-138.27612827778648
16;1.5979296569003497e-15;BP;1;-133.85069910528068
8;1.5979296569003497e-15;BP;1;-133.85069910528068
32;1.5979296569003497e-15;BP;1;-133.85069910528068
2;0.14016966780904966;CTM;2;-138.27738219436904
2;0.14016966780904966;CTM;4;-138.27762501121927
2;0.14016966780904966;CTM;8;-138.27762501121927
8;1.5979296569003497e-15;CTM;2;-133.8446411625367
8;1.5979296569003497e-15;CTM;4;-133.84464116632563
8;1.5979296569003497e-15;CTM;8;-133.84464116632563
4;0.03908388150650381;CTM;2;-134.78202872871756
4;0.03908388150650381;CTM;4;-134.7821216490367
4;0.03908388150650381;CTM;8;-134.78211764817723
16;1.5979296569003497e-15;CTM;2;-133.8446411625367
16;1.5979296569003497e-15;CTM;4;-133.84464116632563
16;1.5979296569003497e-15;CTM;8;-133.84464116632563
32;1.5979296569003497e-15;CTM;2;-133.8446411625367
32;1.5979296569003497e-15;CTM;4;-133.84464116632563
32;1.5979296569003497e-15;CTM;8;-133.84464116632563
64;1.5979296569003497e-15;BP;1;-133.85069910528068
