D;Delta;env;chi;eng
2;0.15843865924849743;BP;1;-159.03050200100944
4;0.06747978382025599;BP;1;-157.8633382215281
8;0.0216405482375622;BP;1;-157.40919022249432
16;0.0038651190014884237;BP;1;-157.30204650955318
32;0.00029006867328764085;BP;1;-157.29609875809285
2;0.15843865924849743;CTM;2;-159.0307733469458
2;0.15843865924849743;CTM;4;-159.0307774563386
2;0.15843865924849743;CTM;8;-159.0307774563386
8;0.0216405482375622;CTM;2;-157.40939575881606
8;0.0216405482375622;CTM;4;-157.40916355017512
4;0.06747978382025599;CTM;2;-157.86323434988068
4;0.06747978382025599;CTM;4;-157.86308013894836
4;0.06747978382025599;CTM;8;-157.86291499849517
8;0.0216405482375622;CTM;8;-157.40907522326415
16;0.0038651190014884237;CTM;2;-157.30210892639155
16;0.0038651190014884237;CTM;4;-157.30191195540365
16;0.0038651190014884237;CTM;8;-157.30192124315735
32;0.00029006867328764085;CTM;2;-157.29616854766383
32;0.00029006867328764085;CTM;4;-157.29595544203445
32;0.00029006867328764085;CTM;8;-157.29596134309224
