D;Delta;env;chi;eng
2;0.11194573478533426;BP;1;-150.02554119291608
4;9.515463997742009e-16;BP;1;-143.72336977935575
8;9.515463997742009e-16;BP;1;-143.72336977935575
16;9.515463997742009e-16;BP;1;-143.72336977935575
32;9.515463997742009e-16;BP;1;-143.72336977935575
2;0.11194573478533426;CTM;2;-150.02547369597661
2;0.11194573478533426;CTM;4;-150.0254685450018
2;0.11194573478533426;CTM;8;-150.0254685450018
4;9.515463997742009e-16;CTM;2;-143.58711093970248
4;9.515463997742009e-16;CTM;4;-143.58711093970248
4;9.515463997742009e-16;CTM;8;-143.58711093970248
8;9.515463997742009e-16;CTM;2;-143.58711093970248
8;9.515463997742009e-16;CTM;4;-143.58711093970248
8;9.515463997742009e-16;CTM;8;-143.58711093970248
16;9.515463997742009e-16;CTM;2;-143.58711093970248
16;9.515463997742009e-16;CTM;4;-143.58711093970248
16;9.515463997742009e-16;CTM;8;-143.58711093970248
32;9.515463997742009e-16;CTM;2;-143.58711093970248
32;9.515463997742009e-16;CTM;4;-143.58711093970248
32;9.515463997742009e-16;CTM;8;-143.58711093970248
32;9.74085458771464e-16;BP;1;-143.72336977935566
64;9.515463997742009e-16;BP;1;-143.72336977935575
