D;Delta;env;chi;eng
2;0.16803679724754783;BP;1;-169.92329652062995
4;0.08453987550172089;BP;1;-168.57515609786182
8;0.03361182397691258;BP;1;-167.7807033233215
16;0.006450191757049525;BP;1;-167.49044587550932
32;0.0006063977839642456;BP;1;-167.47099811737542
2;0.16803679724754783;CTM;2;-169.92241756850422
2;0.16803679724754783;CTM;4;-169.92260968731924
2;0.16803679724754783;CTM;8;-169.92260968731924
8;0.03361182397691258;CTM;2;-167.77854598014903
8;0.03361182397691258;CTM;4;-167.7792359826349
8;0.03361182397691258;CTM;8;-167.77930891598655
16;0.006450191757049525;CTM;2;-167.4889791975092
16;0.006450191757049525;CTM;4;-167.48906037392044
4;0.08453987550172089;CTM;2;-168.57402678193213
4;0.08453987550172089;CTM;4;-168.57397174656722
4;0.08453987550172089;CTM;8;-168.57386714347405
16;0.006450191757049525;CTM;8;-167.48888488819185
32;0.0006063977839642456;CTM;2;-167.4695464987663
32;0.0006063977839642456;CTM;4;-167.4695733547175
32;0.0006063977839642456;CTM;8;-167.46907020390876
32;0.0006063977839643146;BP;1;-167.47099811737607
64;2.2859780544307976e-05;BP;1;-167.4706749971454
