D;Delta;env;chi;eng
2;0.14910423420241964;BP;1;-151.56730569685612
4;0.030410857725582795;BP;1;-147.3350959583814
16;2.8466629489411012e-15;BP;1;-146.77190757625297
8;2.8466629489411012e-15;BP;1;-146.77190757625297
32;2.8466629489411012e-15;BP;1;-146.77190757625297
2;0.14910423420241964;CTM;2;-151.5673907824434
2;0.14910423420241964;CTM;4;-151.56738421557844
2;0.14910423420241964;CTM;8;-151.56738421557844
8;2.8466629489411012e-15;CTM;2;-146.76906201770979
8;2.8466629489411012e-15;CTM;4;-146.7690620146542
8;2.8466629489411012e-15;CTM;8;-146.7690620146542
16;2.8466629489411012e-15;CTM;2;-146.76906201770979
16;2.8466629489411012e-15;CTM;4;-146.7690620146542
16;2.8466629489411012e-15;CTM;8;-146.7690620146542
4;0.030410857725582795;CTM;2;-147.33512429262427
4;0.030410857725582795;CTM;4;-147.33518273543547
4;0.030410857725582795;CTM;8;-147.33512412427254
32;2.8466629489411012e-15;CTM;2;-146.76906201770979
32;2.8466629489411012e-15;CTM;4;-146.7690620146542
32;2.8466629489411012e-15;CTM;8;-146.7690620146542
32;2.7901566345771877e-15;BP;1;-146.77190757625294
