D;Delta;env;chi;eng
4;8.230717516924837e-16;BP;1;-145.12864266309077
2;0.10360053737976169;BP;1;-150.31894176597743
16;8.230717516924837e-16;BP;1;-145.12864266309077
8;8.230717516924837e-16;BP;1;-145.12864266309077
32;8.230717516924837e-16;BP;1;-145.12864266309077
2;0.10360053737976169;CTM;2;-150.31888994689692
2;0.10360053737976169;CTM;4;-150.31889001410536
2;0.10360053737976169;CTM;8;-150.31889001410536
4;8.230717516924837e-16;CTM;2;-145.00403891389743
4;8.230717516924837e-16;CTM;4;-145.00403891389743
4;8.230717516924837e-16;CTM;8;-145.00403891389743
8;8.230717516924837e-16;CTM;2;-145.00403891389743
8;8.230717516924837e-16;CTM;4;-145.00403891389743
8;8.230717516924837e-16;CTM;8;-145.00403891389743
16;8.230717516924837e-16;CTM;2;-145.00403891389743
16;8.230717516924837e-16;CTM;4;-145.00403891389743
16;8.230717516924837e-16;CTM;8;-145.00403891389743
32;8.230717516924837e-16;CTM;2;-145.00403891389743
32;8.230717516924837e-16;CTM;4;-145.00403891389743
32;8.230717516924837e-16;CTM;8;-145.00403891389743
64;8.230717516924837e-16;BP;1;-145.12864266309077
