D;Delta;env;chi;eng
2;2.835278920513814e-16;BP;1;-105.46762766878778
4;2.835278920513814e-16;BP;1;-105.46762766878778
8;2.835278920513814e-16;BP;1;-105.46762766878778
16;2.835278920513814e-16;BP;1;-105.46762766878778
32;2.835278920513814e-16;BP;1;-105.46762766878778
2;2.835278920513814e-16;CTM;2;-105.46762766878771
2;2.835278920513814e-16;CTM;4;-105.46762766878771
2;2.835278920513814e-16;CTM;8;-105.46762766878771
4;2.835278920513814e-16;CTM;2;-105.46762766878771
4;2.835278920513814e-16;CTM;4;-105.46762766878771
4;2.835278920513814e-16;CTM;8;-105.46762766878771
16;2.835278920513814e-16;CTM;2;-105.46762766878771
16;2.835278920513814e-16;CTM;4;-105.46762766878771
16;2.835278920513814e-16;CTM;8;-105.46762766878771
8;2.835278920513814e-16;CTM;2;-105.46762766878771
8;2.835278920513814e-16;CTM;4;-105.46762766878771
8;2.835278920513814e-16;CTM;8;-105.46762766878771
32;2.835278920513814e-16;CTM;2;-105.46762766878771
32;2.835278920513814e-16;CTM;4;-105.46762766878771
32;2.835278920513814e-16;CTM;8;-105.46762766878771
32;3.002982832595479e-16;BP;1;-105.46762766878777
