D;Delta;env;chi;eng
32;8.606662659379137e-16;BP;1;-144.6438683866089
4;8.606662659379137e-16;BP;1;-144.6438683866089
2;0.09412707092766263;BP;1;-148.85178260534525
16;8.606662659379137e-16;BP;1;-144.6438683866089
8;8.606662659379137e-16;BP;1;-144.6438683866089
32;8.606662659379137e-16;CTM;2;-144.51939930241966
32;8.606662659379137e-16;MPS;2;-144.64386921030828
32;8.606662659379137e-16;CTM;4;-144.51939930241966
32;8.606662659379137e-16;CTM;8;-144.51939930241966
32;8.606662659379137e-16;MPS;4;-144.64386838660883
4;8.606662659379137e-16;CTM;2;-144.51939930241966
4;8.606662659379137e-16;CTM;4;-144.51939930241966
4;8.606662659379137e-16;CTM;8;-144.51939930241966
4;8.606662659379137e-16;MPS;2;-144.64386921030828
32;8.606662659379137e-16;MPS;8;-144.64386838660883
4;8.606662659379137e-16;MPS;4;-144.64386838660883
4;8.606662659379137e-16;MPS;8;-144.64386838660883
2;0.09412707092766263;MPS;4;-148.85168278034658
2;0.09412707092766263;MPS;2;-148.8512737845024
2;0.09412707092766263;MPS;8;-148.85168278121242
16;8.606662659379137e-16;CTM;2;-144.51939930241966
16;8.606662659379137e-16;MPS;2;-144.64386921030828
16;8.606662659379137e-16;CTM;4;-144.51939930241966
16;8.606662659379137e-16;CTM;8;-144.51939930241966
16;8.606662659379137e-16;MPS;4;-144.64386838660883
8;8.606662659379137e-16;CTM;2;-144.51939930241966
2;0.09412707092766263;CTM;2;-148.85176885589695
8;8.606662659379137e-16;CTM;4;-144.51939930241966
8;8.606662659379137e-16;CTM;8;-144.51939930241966
2;0.09412707092766263;CTM;4;-148.85176547176874
16;8.606662659379137e-16;MPS;8;-144.64386838660883
2;0.09412707092766263;CTM;8;-148.85176547176874
8;8.606662659379137e-16;MPS;4;-144.64386838660883
8;8.606662659379137e-16;MPS;2;-144.64386921030828
8;8.606662659379137e-16;MPS;8;-144.64386838660883
64;8.670537786187896e-16;BP;1;-144.64386838660874
