D;Delta;env;chi;eng
2;0.16458814658093257;BP;1;-159.9604476648923
4;0.07462296139099577;BP;1;-157.80090903149116
8;0.018488351432945128;BP;1;-156.61381705011303
16;0.0013908399189859226;BP;1;-156.4458976020496
32;9.354137039083245e-15;BP;1;-156.44406861895078
2;0.16458814658093257;CTM;2;-159.95707957099805
2;0.16458814658093257;CTM;4;-159.95711228308554
2;0.16458814658093257;CTM;8;-159.95711228308554
4;0.07462296139099577;CTM;2;-157.79688341211863
4;0.07462296139099577;CTM;4;-157.79691221628346
4;0.07462296139099577;CTM;8;-157.7968580055891
8;0.018488351432945128;CTM;2;-156.61337338201247
8;0.018488351432945128;CTM;4;-156.61359656901803
8;0.018488351432945128;CTM;8;-156.61340057084834
16;0.0013908399189859226;CTM;2;-156.44604784187737
16;0.0013908399189859226;CTM;4;-156.44546364439628
16;0.0013908399189859226;CTM;8;-156.4454655632162
32;9.354137039083245e-15;CTM;2;-156.4442904798021
32;9.354137039083245e-15;CTM;4;-156.44401261160047
32;9.354137039083245e-15;CTM;8;-156.4439980615771
32;9.274891585452522e-15;BP;1;-156.44406861895138
