D;Delta;env;chi;eng
2;0.17425343550371733;BP;1;-160.61643095484015
4;0.08700247418077195;BP;1;-158.59221032051462
8;0.02179102622642249;BP;1;-156.97848113431243
16;0.0015730400408113575;BP;1;-156.7636111889492
32;8.27989459362225e-15;BP;1;-156.76125741349344
2;0.17425343550371733;CTM;2;-160.6130905149852
2;0.17425343550371733;CTM;4;-160.61307777732478
2;0.17425343550371733;CTM;8;-160.61307777732478
4;0.08700247418077195;CTM;2;-158.5879927655854
4;0.08700247418077195;CTM;4;-158.58796636509678
4;0.08700247418077195;CTM;8;-158.5879606011959
8;0.02179102622642249;CTM;2;-156.97800273062217
8;0.02179102622642249;CTM;4;-156.9783216574033
8;0.02179102622642249;CTM;8;-156.97828518642717
16;0.0015730400408113575;CTM;2;-156.7639327666057
16;0.0015730400408113575;CTM;4;-156.76359776587896
16;0.0015730400408113575;CTM;8;-156.76325233914739
32;8.27989459362225e-15;CTM;2;-156.7616189413056
32;8.27989459362225e-15;CTM;4;-156.76150245477496
32;8.27989459362225e-15;CTM;8;-156.76147064165804
