D;Delta;env;chi;eng
2;0.10291308360599982;BP;1;-148.7863371957999
4;0.042825148253343145;BP;1;-148.03667499304038
8;0.01048807200808005;BP;1;-147.78224512527754
16;0.0010726672342338808;BP;1;-147.74680707721805
32;3.5233637945695964e-05;BP;1;-147.74616161380337
2;0.10291308360599982;CTM;2;-148.7862901672649
2;0.10291308360599982;CTM;4;-148.78628357274866
2;0.10291308360599982;CTM;8;-148.78628357274866
4;0.042825148253343145;CTM;2;-148.03650546585894
4;0.042825148253343145;CTM;4;-148.0365411462001
4;0.042825148253343145;CTM;8;-148.0365411334749
8;0.01048807200808005;CTM;2;-147.78196648877721
8;0.01048807200808005;CTM;4;-147.78177939109676
8;0.01048807200808005;CTM;8;-147.7817371090616
32;3.5233637945695964e-05;CTM;2;-147.74559356268824
16;0.0010726672342338808;CTM;2;-147.74626542883811
16;0.0010726672342338808;CTM;4;-147.7461002071891
16;0.0010726672342338808;CTM;8;-147.74591049224034
32;3.5233637945695964e-05;CTM;4;-147.74538135813222
32;3.5233637945695964e-05;CTM;8;-147.74528269383438
