D;which;D2;which2;chi;Delta;Delta2;time;eng
4;BP;4;BP;2;0.08690059466621791;0.0;47.110928773880005;-152.71085247183316
4;BP;4;BP;1;0.08690059466621791;0.0;49.16864562034607;-152.70770342482592
8;BP;8;BP;1;0.02237995446520254;0.0;53.76843976974487;-151.23877853587945
8;BP;8;BP;2;0.02237995446520254;0.0;57.659481048583984;-151.24227809692138
16;BP;16;BP;1;0.0016045869460215361;0.0;73.52385902404785;-151.0080887962589
16;BP;16;BP;2;0.0016045869460215361;0.0;80.66855502128601;-151.00978460835157
64;BP;64;BP;1;8.145197573768053e-15;0.0;121.64349508285522;-151.00566271139462
32;BP;32;BP;1;8.145197573768053e-15;0.0;131.63925576210022;-151.00566271139462
64;BP;64;BP;2;8.145197573768053e-15;0.0;462.9320809841156;-151.0073159411094
32;BP;32;BP;2;8.145197573768053e-15;0.0;470.6643497943878;-151.0073159411094
16;BP;16;BP;4;0.0016045869460215361;0.0;124.70668506622314;-151.01015014895358
16;BP;16;BP;8;0.0016045869460215361;0.0;394.28380703926086;-151.0097362959755
32;BP;32;BP;4;8.145197573768053e-15;0.0;2094.7646276950836;-151.0077180670407
32;BP;32;BP;8;8.145197573768053e-15;0.0;10455.88829421997;-151.00732097252478
16;BP;16;BP;4;0.0022339455603427177;0.0;167.32553601264954;-151.01027176071423
16;BP;16;BP;8;0.0022339455603427177;0.0;430.5832574367523;-151.00988993984177
32;BP;32;BP;4;2.1660402024834026e-14;0.0;2119.5550696849823;-151.00771806704097
32;BP;32;BP;8;2.1660402024834026e-14;0.0;10525.020287275314;-151.00732097252495
