D;Delta;env;chi;eng
2;0.1935764428773388;BP;1;-129.99422649223732
8;1.6876370731523957e-15;BP;1;-122.36234128548041
4;0.04810733827255957;BP;1;-123.731369677714
32;1.6876370731523957e-15;BP;1;-122.36234128548041
16;1.6876370731523957e-15;BP;1;-122.36234128548041
4;0.04810733827255957;CTM;2;-123.73158760164652
4;0.04810733827255957;CTM;4;-123.73190808854065
4;0.04810733827255957;CTM;8;-123.73192470940538
2;0.1935764428773388;CTM;2;-129.99696683501207
2;0.1935764428773388;CTM;4;-129.9966769303824
2;0.1935764428773388;CTM;8;-129.9966769303824
16;1.6876370731523957e-15;CTM;2;-122.35656815973118
16;1.6876370731523957e-15;CTM;4;-122.35656818042362
16;1.6876370731523957e-15;CTM;8;-122.35656818042362
8;1.6876370731523957e-15;CTM;4;-122.35656818042362
8;1.6876370731523957e-15;CTM;2;-122.35656815973118
8;1.6876370731523957e-15;CTM;8;-122.35656818042362
32;1.6876370731523957e-15;CTM;2;-122.35656815973118
32;1.6876370731523957e-15;CTM;4;-122.35656818042362
32;1.6876370731523957e-15;CTM;8;-122.35656818042362
32;1.6747350393737906e-15;BP;1;-122.36234128548038
64;1.6876370731523957e-15;BP;1;-122.36234128548041
