D;Delta;env;chi;eng
2;0.19356689896439663;BP;1;-130.61686749982985
4;0.04722145584239188;BP;1;-124.59330474995288
8;1.6711402210538008e-15;BP;1;-123.27171249665744
16;1.6711402210538008e-15;BP;1;-123.27171249665744
32;1.6711402210538008e-15;BP;1;-123.27171249665744
2;0.19356689896439663;CTM;2;-130.62008378130278
2;0.19356689896439663;CTM;4;-130.61957285013008
2;0.19356689896439663;CTM;8;-130.61957285013008
4;0.04722145584239188;CTM;2;-124.59355241598578
4;0.04722145584239188;CTM;4;-124.5939154722053
4;0.04722145584239188;CTM;8;-124.59392515900441
8;1.6711402210538008e-15;CTM;2;-123.26521714818635
8;1.6711402210538008e-15;CTM;4;-123.2652171693464
8;1.6711402210538008e-15;CTM;8;-123.2652171693464
16;1.6711402210538008e-15;CTM;4;-123.2652171693464
16;1.6711402210538008e-15;CTM;2;-123.26521714818635
16;1.6711402210538008e-15;CTM;8;-123.2652171693464
32;1.6711402210538008e-15;CTM;2;-123.26521714818635
32;1.6711402210538008e-15;CTM;4;-123.2652171693464
32;1.6711402210538008e-15;CTM;8;-123.2652171693464
64;1.6711402210538008e-15;BP;1;-123.27171249665744
