D;Delta;env;chi;eng
2;2.991259407708316e-16;BP;1;-81.84315934194056
4;2.991259407708316e-16;BP;1;-81.84315934194056
8;2.991259407708316e-16;BP;1;-81.84315934194056
16;2.991259407708316e-16;BP;1;-81.84315934194056
32;2.991259407708316e-16;BP;1;-81.84315934194056
2;2.991259407708316e-16;CTM;2;-81.84315934194056
2;2.991259407708316e-16;CTM;4;-81.84315934194056
2;2.991259407708316e-16;CTM;8;-81.84315934194056
4;2.991259407708316e-16;CTM;2;-81.84315934194056
4;2.991259407708316e-16;CTM;4;-81.84315934194056
4;2.991259407708316e-16;CTM;8;-81.84315934194056
16;2.991259407708316e-16;CTM;2;-81.84315934194056
16;2.991259407708316e-16;CTM;4;-81.84315934194056
16;2.991259407708316e-16;CTM;8;-81.84315934194056
32;2.991259407708316e-16;CTM;2;-81.84315934194056
32;2.991259407708316e-16;CTM;4;-81.84315934194056
32;2.991259407708316e-16;CTM;8;-81.84315934194056
8;2.991259407708316e-16;CTM;2;-81.84315934194056
8;2.991259407708316e-16;CTM;4;-81.84315934194056
8;2.991259407708316e-16;CTM;8;-81.84315934194056
32;2.8364367633567383e-16;BP;1;-81.84315934194055
