D;which;D2;which2;chi;Delta;Delta2;time;eng
4;BP;4;BP;2;0.28727319050270583;0.0;122.1306688785553;-166.92831363178448
4;BP;4;BP;1;0.28727319050270583;0.0;136.25887846946716;-166.93822359369355
4;BP;4;BP;2;0.28727319050270583;0.0;137.35595870018005;-166.92831363178448
8;BP;8;BP;1;0.15150420610206047;0.0;155.02238869667053;-165.1209283350448
8;BP;8;BP;2;0.15150420610206047;0.0;159.857271194458;-165.12965526191707
16;BP;16;BP;1;0.06801866697105481;0.0;269.1659457683563;-163.96054928452972
16;BP;16;BP;2;0.06801866697105481;0.0;277.8562445640564;-163.96805489157126
4;BP;4;BP;1;0.28727319050270583;0.0;173.3478581905365;-166.93822359369355
8;BP;8;BP;2;0.15150420610206022;0.0;246.32267308235168;-165.1296552619171
4;NN+BP;4;NN+BP;4;0.2871921731582263;0.0;192.41539812088013;-166.9582551877751
8;BP;8;BP;1;0.15150420610206022;0.0;263.5009903907776;-165.12092833504482
4;BP;4;BP;2;0.28727319050270583;0.0;301.3306038379669;-166.92831363178448
16;BP;16;BP;1;0.06801866697105434;0.0;381.91562151908875;-163.96054928452975
16;BP;16;BP;2;0.06801866697105434;0.0;411.9933454990387;-163.9680548915711
8;NN+BP;8;NN+BP;8;0.15155425929066962;0.0;413.2437047958374;-165.19492667814478
12;NN+BP;12;NN+BP;12;0.09867113738992143;0.0;2005.4848592281342;-164.4155066142759
32;BP;32;BP;1;0.021029234598901235;0.0;2138.020383119583;-163.48654093957845
32;BP;32;BP;2;0.021029234598901235;0.0;3228.036202430725;-163.48947023053677
64;BP;64;BP;1;0.0042398874278799506;0.0;10339.87436079979;-163.4057465434128
64;BP;64;BP;2;0.0042398874278799506;0.0;23243.0095641613;-163.40718328901127
4;BP;4;BP;1;0.19459742470250352;0.0;305.50836992263794;-166.73512177231552
4;BP;4;BP;2;0.19459742470250352;0.0;309.25139474868774;-166.73658075467304
8;BP;8;BP;1;0.10334568412545497;0.0;316.0582947731018;-164.99372360814345
8;BP;8;BP;2;0.10334568412545497;0.0;461.0474350452423;-165.00464997769262
16;BP;16;BP;1;0.04582096983765534;0.0;665.0781812667847;-163.89401140326305
16;BP;16;BP;2;0.04582096983765534;0.0;674.305321931839;-163.90392998032533
32;BP;32;BP;1;0.014162063290592865;0.0;2128.8693799972534;-163.47622261830233
32;BP;32;BP;2;0.014162063290592865;0.0;3510.473253250122;-163.47969194741003
64;BP;64;BP;1;0.002859184314446401;0.0;15738.211252450943;-163.40500658849416
64;BP;64;BP;1;0.00285918431444628;0.0;5134.478199005127;-163.40500658849285
64;BP;64;BP;2;0.00285918431444628;0.0;16548.818164348602;-163.4064683517333
128;BP;128;BP;1;0.0003852897914014819;0.0;37623.73561048508;-163.4001045289278
