D;Delta;env;chi;eng
4;0.11879227332296871;BP;1;-161.5505250166414
2;0.22565608482743674;BP;1;-164.02461903474585
8;0.04398568025434058;BP;1;-159.73681086111358
16;0.0073111604780419556;BP;1;-159.17596039489018
32;0.0004631198776782917;BP;1;-159.1468207953995
4;0.11879227332296871;CTM;2;-161.55083609111324
4;0.11879227332296871;CTM;4;-161.5499614484912
4;0.11879227332296871;CTM;8;-161.55001728670592
2;0.22565608482743674;CTM;2;-164.02402119858036
2;0.22565608482743674;CTM;4;-164.02412519720104
2;0.22565608482743674;CTM;8;-164.02412519720104
16;0.0073111604780419556;CTM;2;-159.1766022142864
16;0.0073111604780419556;CTM;4;-159.17627415393662
8;0.04398568025434058;CTM;2;-159.73738241647945
8;0.04398568025434058;CTM;4;-159.73738969607984
8;0.04398568025434058;CTM;8;-159.73712654333949
16;0.0073111604780419556;CTM;8;-159.17606594885459
32;0.0004631198776782917;CTM;2;-159.14765515669802
32;0.0004631198776782917;CTM;4;-159.14702645106368
32;0.0004631198776782917;CTM;8;-159.1468283192252
64;1.1618786645720409e-14;BP;1;-159.14658666632022
