D;Delta;env;chi;eng
2;0.39755025943107253;BP;1;-133.87560758755745
4;0.16949061775899538;BP;1;-127.43917182041838
8;0.05206078800259961;BP;1;-123.74270303007576
16;0.006691334778560595;BP;1;-122.85346135053999
32;9.249949916134131e-15;BP;1;-122.82300742209563
2;0.39755025943107253;CTM;2;-133.87673342074825
2;0.39755025943107253;CTM;4;-133.8768346300425
2;0.39755025943107253;CTM;8;-133.8768346300425
4;0.16949061775899538;CTM;2;-127.44119528723685
4;0.16949061775899538;CTM;4;-127.44183495333564
4;0.16949061775899538;CTM;8;-127.44188019414915
16;0.006691334778560595;CTM;2;-122.85578674812314
16;0.006691334778560595;CTM;4;-122.85614926468828
8;0.05206078800259961;CTM;2;-123.74525056436313
8;0.05206078800259961;CTM;4;-123.74491005805658
8;0.05206078800259961;CTM;8;-123.74532381675964
16;0.006691334778560595;CTM;8;-122.8564822113788
32;9.249949916134131e-15;CTM;2;-122.82534395271145
32;9.249949916134131e-15;CTM;4;-122.82472709306552
32;9.249949916134131e-15;CTM;8;-122.82428352086984
