D;Delta;env;chi;eng
2;0.20408691943377824;BP;1;-207.4615911296627
4;0.09857172630737553;BP;1;-203.01182905096724
8;0.026290690840878747;BP;1;-200.4376854742483
16;0.0022403279578597115;BP;1;-200.02457851207367
32;8.83693379673247e-15;BP;1;-200.01867416184453
2;0.20408691943377824;CTM;2;-207.46138915195704
2;0.20408691943377824;CTM;4;-207.46139952132535
2;0.20408691943377824;CTM;8;-207.46139952132535
4;0.09857172630737553;CTM;2;-203.01148182570012
4;0.09857172630737553;CTM;4;-203.01159952700408
4;0.09857172630737553;CTM;8;-203.0117231124823
8;0.026290690840878747;CTM;2;-200.43715202748928
8;0.026290690840878747;CTM;4;-200.4372614530142
8;0.026290690840878747;CTM;8;-200.4375111065052
16;0.0022403279578597115;CTM;2;-200.02458466365877
16;0.0022403279578597115;CTM;4;-200.02436392489702
16;0.0022403279578597115;CTM;8;-200.0245773130179
32;8.83693379673247e-15;CTM;2;-200.01868537025126
32;8.83693379673247e-15;CTM;4;-200.01851454448158
32;8.83693379673247e-15;CTM;8;-200.0187480693186
64;8.83693379673247e-15;BP;1;-200.01867416184453
