D;Delta;env;chi;eng
2;0.4226141194578043;BP;1;-182.77081345758708
4;0.1875266006456727;BP;1;-173.80165783631526
8;0.06961538737128337;BP;1;-168.97150191811556
16;0.015588628982889326;BP;1;-167.49064431803612
32;0.0013449462148326075;BP;1;-167.334143350974
4;0.1875266006456727;CTM;2;-173.8025277575175
4;0.1875266006456727;CTM;4;-173.80067424289282
4;0.1875266006456727;CTM;8;-173.80098381218693
2;0.4226141194578043;CTM;2;-182.77134852843534
2;0.4226141194578043;CTM;4;-182.77128407272335
2;0.4226141194578043;CTM;8;-182.77128407272335
8;0.06961538737128337;CTM;2;-168.97158876989806
8;0.06961538737128337;CTM;4;-168.97254446053108
8;0.06961538737128337;CTM;8;-168.97238176145714
16;0.015588628982889326;CTM;2;-167.49237171078815
16;0.015588628982889326;CTM;4;-167.49076384926255
16;0.015588628982889326;CTM;8;-167.49160249719742
32;0.0013449462148326075;CTM;2;-167.3359756341306
32;0.0013449462148326075;CTM;4;-167.3336917531574
32;0.0013449462148326075;CTM;8;-167.33530527421854
