D;Delta;env;chi;eng
4;8.670537786187896e-16;BP;1;-144.64386838660874
16;8.670537786187896e-16;BP;1;-144.64386838660874
32;8.670537786187896e-16;BP;1;-144.64386838660874
4;8.670537786187896e-16;CTM;2;-144.64153151140493
16;8.670537786187896e-16;CTM;2;-144.64153151140493
4;8.670537786187896e-16;CTM;8;-144.64153241418254
4;8.670537786187896e-16;CTM;6;-144.64153241418254
4;8.670537786187896e-16;CTM;4;-144.64153241418254
8;8.670537786187896e-16;BP;1;-144.64386838660874
16;8.670537786187896e-16;CTM;8;-144.64153241418254
16;8.670537786187896e-16;CTM;4;-144.64153241418254
4;8.670537786187896e-16;MPS;2;-144.64386804615472
16;8.670537786187896e-16;CTM;6;-144.64153241418254
32;8.670537786187896e-16;MPS;2;-144.64386804615472
16;8.670537786187896e-16;MPS;2;-144.64386804615472
32;8.670537786187896e-16;CTM;8;-144.64153241418254
32;8.670537786187896e-16;CTM;6;-144.64153241418254
32;8.670537786187896e-16;CTM;4;-144.64153241418254
32;8.670537786187896e-16;CTM;2;-144.64153151140493
4;8.670537786187896e-16;MPS;4;-144.64386838660874
16;8.670537786187896e-16;MPS;4;-144.64386838660874
32;8.670537786187896e-16;MPS;4;-144.64386838660874
4;8.670537786187896e-16;MPS;8;-144.64386838660874
16;8.670537786187896e-16;MPS;8;-144.64386838660874
8;8.670537786187896e-16;CTM;6;-144.64153241418254
8;8.670537786187896e-16;CTM;4;-144.64153241418254
8;8.670537786187896e-16;CTM;2;-144.64153151140493
8;8.670537786187896e-16;MPS;2;-144.64386804615472
8;8.670537786187896e-16;CTM;8;-144.64153241418254
4;8.670537786187896e-16;MPS;6;-144.6438683866088
32;8.670537786187896e-16;MPS;8;-144.64386838660874
8;8.670537786187896e-16;MPS;4;-144.64386838660874
16;8.670537786187896e-16;MPS;6;-144.6438683866088
32;8.670537786187896e-16;MPS;6;-144.6438683866088
8;8.670537786187896e-16;MPS;8;-144.64386838660874
8;8.670537786187896e-16;MPS;6;-144.6438683866088
