D;Delta;env;chi;eng
2;0.17454352693908542;BP;1;-207.0139666360434
4;0.0846901652708882;BP;1;-203.8056763596979
8;0.020702613454408353;BP;1;-201.81519749607432
16;0.0015270238288904454;BP;1;-201.55850328521797
32;1.0754049918097442e-14;BP;1;-201.55571467896436
2;0.17454352693908542;CTM;2;-207.01394144774815
2;0.17454352693908542;CTM;4;-207.0139588321174
2;0.17454352693908542;CTM;8;-207.0139588321174
4;0.0846901652708882;CTM;2;-203.8054749580192
4;0.0846901652708882;CTM;4;-203.80542577433786
4;0.0846901652708882;CTM;8;-203.80544351457877
8;0.020702613454408353;CTM;2;-201.81497244477464
8;0.020702613454408353;CTM;4;-201.81507420147742
8;0.020702613454408353;CTM;8;-201.81521845320026
16;0.0015270238288904454;CTM;2;-201.5585862025755
16;0.0015270238288904454;CTM;4;-201.55843585871875
16;0.0015270238288904454;CTM;8;-201.55848622484348
32;1.0754049918097442e-14;CTM;2;-201.55582206894647
32;1.0754049918097442e-14;CTM;4;-201.55571481797872
32;1.0754049918097442e-14;CTM;8;-201.5558230213426
32;1.0650494867581693e-14;BP;1;-201.55571467896573
