D;which;D2;which2;chi;Delta;Delta2;time;eng
1;BP;1;BP;2;2.8109674977396266;0.0;253.19966316223145;-188.68742125130544
2;BP;2;BP;1;0.3045100525943752;0.0;260.8164613246918;-189.79995473617973
1;BP;1;BP;1;2.8109674977396266;0.0;262.2157070636749;-188.6874212513055
1;BP;1;BP;4;2.8109674977396266;0.0;262.93651485443115;-188.68742125130544
4;BP;4;BP;1;0.13665954979501535;0.0;264.8712167739868;-189.34583853991754
2;BP;2;BP;2;0.3045100525943752;0.0;277.721524477005;-189.80146397928917
4;BP;4;BP;4;0.13665954979501535;0.0;279.0493459701538;-189.33380978566336
4;BP;4;BP;2;0.13665954979501535;0.0;281.94429111480713;-189.33047918542852
2;BP;2;BP;4;0.3045100525943752;0.0;302.2863519191742;-189.80136459067813
8;BP;8;BP;1;0.09456260376733418;0.0;322.90059304237366;-189.09463711151867
8;BP;8;BP;4;0.09456260376733418;0.0;324.57257747650146;-189.11106544219464
8;BP;8;BP;2;0.09456260376733418;0.0;335.9942615032196;-189.10056820269912
16;BP;16;BP;2;0.06918522749242569;0.0;533.4331800937653;-188.93822967634645
16;BP;16;BP;1;0.06918522749242569;0.0;538.9599647521973;-188.93319508258799
16;BP;16;BP;4;0.06918522749242569;0.0;578.4965388774872;-188.94770205971457
32;BP;32;BP;1;0.047035101972124106;0.0;2506.0513019561768;-188.77156820113024
32;BP;32;BP;2;0.047035101972124106;0.0;2908.6461300849915;-188.76892801707365
32;BP;32;BP;4;0.047035101972124106;0.0;4568.039254665375;-188.77467354186413
64;BP;64;BP;1;0.02746059121909574;0.0;22791.976414203644;-188.63646763980694
64;BP;64;BP;2;0.02746059121909574;0.0;39388.87373805046;-188.7056825180228
64;BP;64;BP;4;0.02746059121909574;0.0;110755.63568282127;-188.6441513542894
128;BP;128;BP;1;0.013376608042883861;0.0;208412.97231674194;-188.56246454268677
