D;Delta;env;chi;eng
2;0.09546803994190825;BP;1;-112.98158592349954
4;8.775393096775568e-16;BP;1;-109.16153009774173
8;8.775393096775568e-16;BP;1;-109.16153009774173
16;8.775393096775568e-16;BP;1;-109.16153009774173
32;8.775393096775568e-16;BP;1;-109.16153009774173
2;0.09546803994190825;CTM;2;-112.98184098327364
2;0.09546803994190825;CTM;4;-112.98161917081622
2;0.09546803994190825;CTM;8;-112.98161917081622
4;8.775393096775568e-16;CTM;2;-109.15687887651349
4;8.775393096775568e-16;CTM;4;-109.15687887651349
4;8.775393096775568e-16;CTM;8;-109.15687887651349
8;8.775393096775568e-16;CTM;2;-109.15687887651349
8;8.775393096775568e-16;CTM;4;-109.15687887651349
8;8.775393096775568e-16;CTM;8;-109.15687887651349
16;8.775393096775568e-16;CTM;2;-109.15687887651349
16;8.775393096775568e-16;CTM;4;-109.15687887651349
16;8.775393096775568e-16;CTM;8;-109.15687887651349
32;8.775393096775568e-16;CTM;2;-109.15687887651349
32;8.775393096775568e-16;CTM;8;-109.15687887651349
32;8.775393096775568e-16;CTM;4;-109.15687887651349
32;9.226530643524191e-16;BP;1;-109.16153009774173
