D;Delta;env;chi;eng
2;0.0949297241964412;BP;1;-138.17920937293857
8;0.0058107411732383225;BP;1;-137.14740857755964
4;0.0338562322218624;BP;1;-137.34940417029435
16;0.0002766455570153986;BP;1;-137.13358115684076
32;8.234428563329168e-15;BP;1;-137.13354046689432
2;0.0949297241964412;CTM;2;-138.17914791837148
2;0.0949297241964412;CTM;4;-138.17914381531392
2;0.0949297241964412;CTM;8;-138.17914381531392
4;0.0338562322218624;CTM;2;-137.34945130815942
4;0.0338562322218624;CTM;4;-137.34946455917293
4;0.0338562322218624;CTM;8;-137.34945886557506
8;0.0058107411732383225;CTM;2;-137.14713307809444
8;0.0058107411732383225;CTM;4;-137.14698026337567
8;0.0058107411732383225;CTM;8;-137.14698570915985
16;0.0002766455570153986;CTM;2;-137.13328509307078
16;0.0002766455570153986;CTM;4;-137.13312291994538
16;0.0002766455570153986;CTM;8;-137.13313894142573
32;8.234428563329168e-15;CTM;2;-137.1332312423293
32;8.234428563329168e-15;CTM;4;-137.13324264033625
32;8.234428563329168e-15;CTM;8;-137.13324639638677
