D;Delta;env;chi;eng
2;0.19343626894893823;BP;1;-157.85261766708354
4;0.09756469527563824;BP;1;-155.47475296721558
8;0.026115829337209902;BP;1;-153.64264109285944
16;0.002113266334988755;BP;1;-153.35836604290583
32;8.311856407349435e-15;BP;1;-153.35474694911204
4;0.09756469527563824;CTM;2;-155.47529568518775
4;0.09756469527563824;CTM;4;-155.47525196727517
4;0.09756469527563824;CTM;8;-155.47525104001974
2;0.19343626894893823;CTM;2;-157.8526700709436
2;0.19343626894893823;CTM;4;-157.85268286141655
2;0.19343626894893823;CTM;8;-157.85268286141655
16;0.002113266334988755;CTM;2;-153.35890150635356
8;0.026115829337209902;CTM;2;-153.6435306219187
8;0.026115829337209902;CTM;4;-153.64355212066954
8;0.026115829337209902;CTM;8;-153.6436800817481
16;0.002113266334988755;CTM;4;-153.35864093063867
16;0.002113266334988755;CTM;8;-153.35904141706092
32;8.311856407349435e-15;CTM;2;-153.35524211534272
32;8.311856407349435e-15;CTM;4;-153.35496080868174
32;8.311856407349435e-15;CTM;8;-153.35536725509013
64;8.311856407349435e-15;BP;1;-153.35474694911204
