D;Delta;env;chi;eng
2;0.1438135735926147;BP;1;-131.885807774973
8;9.719556675774513e-16;BP;1;-124.03445768312199
4;9.719556675774513e-16;BP;1;-124.03445768312199
16;9.719556675774513e-16;BP;1;-124.03445768312199
32;9.719556675774513e-16;BP;1;-124.03445768312199
2;0.1438135735926147;CTM;2;-131.88579951763458
2;0.1438135735926147;CTM;4;-131.88581852256394
2;0.1438135735926147;CTM;8;-131.88581852256394
4;9.719556675774513e-16;CTM;2;-123.94564855719086
4;9.719556675774513e-16;CTM;4;-123.94564855719086
4;9.719556675774513e-16;CTM;8;-123.94564855719086
8;9.719556675774513e-16;CTM;2;-123.94564855719086
8;9.719556675774513e-16;CTM;4;-123.94564855719086
8;9.719556675774513e-16;CTM;8;-123.94564855719086
16;9.719556675774513e-16;CTM;2;-123.94564855719086
16;9.719556675774513e-16;CTM;4;-123.94564855719086
16;9.719556675774513e-16;CTM;8;-123.94564855719086
32;9.719556675774513e-16;CTM;2;-123.94564855719086
32;9.719556675774513e-16;CTM;4;-123.94564855719086
32;9.719556675774513e-16;CTM;8;-123.94564855719086
32;9.685614277718192e-16;BP;1;-124.03445768312197
64;9.719556675774513e-16;BP;1;-124.03445768312199
