D;Delta;env;chi;eng
2;3.0348568235936224e-16;BP;1;-82.67355432811398
4;3.0348568235936224e-16;BP;1;-82.67355432811398
8;3.0348568235936224e-16;BP;1;-82.67355432811398
16;3.0348568235936224e-16;BP;1;-82.67355432811398
32;3.0348568235936224e-16;BP;1;-82.67355432811398
2;3.0348568235936224e-16;CTM;2;-82.673554328114
2;3.0348568235936224e-16;CTM;4;-82.673554328114
2;3.0348568235936224e-16;CTM;8;-82.673554328114
4;3.0348568235936224e-16;CTM;2;-82.673554328114
4;3.0348568235936224e-16;CTM;4;-82.673554328114
4;3.0348568235936224e-16;CTM;8;-82.673554328114
8;3.0348568235936224e-16;CTM;2;-82.673554328114
8;3.0348568235936224e-16;CTM;4;-82.673554328114
8;3.0348568235936224e-16;CTM;8;-82.673554328114
16;3.0348568235936224e-16;CTM;2;-82.673554328114
16;3.0348568235936224e-16;CTM;4;-82.673554328114
16;3.0348568235936224e-16;CTM;8;-82.673554328114
32;3.0348568235936224e-16;CTM;2;-82.673554328114
32;3.0348568235936224e-16;CTM;4;-82.673554328114
32;3.0348568235936224e-16;CTM;8;-82.673554328114
64;3.0348568235936224e-16;BP;1;-82.67355432811398
