D;Delta;env;chi;eng
2;0.12286713630253404;BP;1;-126.04983053340864
4;0.04553638247510487;BP;1;-124.4435406136505
32;5.834713842906994e-15;BP;1;-123.86779117059474
8;0.0045910489873810245;BP;1;-123.87812663304777
16;5.834713842906994e-15;BP;1;-123.86779117059474
2;0.12286713630253404;CTM;2;-126.04991255135205
2;0.12286713630253404;CTM;4;-126.04991882518344
2;0.12286713630253404;CTM;8;-126.04991882518344
4;0.04553638247510487;CTM;2;-124.443718546382
4;0.04553638247510487;CTM;4;-124.4438754027442
4;0.04553638247510487;CTM;8;-124.44387039236608
16;5.834713842906994e-15;CTM;2;-123.86796713793775
16;5.834713842906994e-15;CTM;4;-123.86781533436857
16;5.834713842906994e-15;CTM;8;-123.8678153343686
8;0.0045910489873810245;CTM;2;-123.87829924903164
8;0.0045910489873810245;CTM;4;-123.87835995528576
8;0.0045910489873810245;CTM;8;-123.87838312668053
32;5.834713842906994e-15;CTM;2;-123.86796713793775
32;5.834713842906994e-15;CTM;4;-123.86781533436857
32;5.834713842906994e-15;CTM;8;-123.8678153343686
32;5.841626839124267e-15;BP;1;-123.8677911705948
