D;Delta;env;chi;eng
2;0.2469043040466656;BP;1;-243.07835300883107
4;0.10835027737418344;BP;1;-242.73433146681072
8;0.08071695792214519;BP;1;-242.59964254498124
16;0.06208263101476722;BP;1;-242.47969853645324
32;0.044286265052919535;BP;1;-242.35495456512737
2;0.2469043040466656;CTM;2;-243.07836386055433
2;0.2469043040466656;MPS;2;-243.07836130787672
2;0.2469043040466656;CTM;4;-243.0783638588707
2;0.2469043040466656;MPS;4;-243.0783613008961
2;0.2469043040466656;CTM;8;-243.0783638588707
2;0.2469043040466656;MPS;8;-243.07836130089612
4;0.10835027737418344;CTM;2;-242.7341045583865
4;0.10835027737418344;MPS;2;-242.73522443936156
4;0.10835027737418344;CTM;4;-242.7341420062108
4;0.10835027737418344;MPS;4;-242.7352416544216
4;0.10835027737418344;CTM;8;-242.73414488764777
4;0.10835027737418344;MPS;8;-242.7352389824055
8;0.08071695792214519;CTM;2;-242.5997059086417
8;0.08071695792214519;MPS;2;-242.5984059705723
8;0.08071695792214519;CTM;4;-242.59893635306858
8;0.08071695792214519;MPS;4;-242.5986471551791
8;0.08071695792214519;CTM;8;-242.59870534000473
8;0.08071695792214519;MPS;8;-242.59854083942025
16;0.06208263101476722;CTM;2;-242.48027013098675
16;0.06208263101476722;MPS;2;-242.4799181663851
16;0.06208263101476722;CTM;4;-242.4830438916846
16;0.06208263101476722;MPS;4;-242.48326611639152
16;0.06208263101476722;MPS;8;-242.4817047845319
16;0.06208263101476722;CTM;8;-242.48034249038997
32;0.044286265052919535;MPS;2;-242.35150027860814
32;0.044286265052919535;CTM;2;-242.3564783052034
32;0.044286265052919535;MPS;4;-242.359243124855
32;0.044286265052919535;CTM;4;-242.35739998116688
32;0.044286265052919535;MPS;8;-242.36055529730402
64;0.027819436904939262;BP;1;-242.2493465392761
