D;Delta;env;chi;eng
4;0.03741446324014332;BP;1;-133.81495802682446
2;0.13456951463354022;BP;1;-136.5676266501588
8;1.5853873159624143e-15;BP;1;-133.03801582792684
32;1.5853873159624143e-15;BP;1;-133.03801582792684
16;1.5853873159624143e-15;BP;1;-133.03801582792684
2;0.13456951463354022;CTM;2;-136.5676892882094
2;0.13456951463354022;CTM;4;-136.56789594963098
2;0.13456951463354022;CTM;8;-136.56789594963098
4;0.03741446324014332;CTM;2;-133.81506309443967
4;0.03741446324014332;CTM;4;-133.81510951760345
4;0.03741446324014332;CTM;8;-133.81520708217815
8;1.5853873159624143e-15;CTM;2;-133.02832739100418
8;1.5853873159624143e-15;CTM;4;-133.02832738478364
8;1.5853873159624143e-15;CTM;8;-133.02832738478364
32;1.5853873159624143e-15;CTM;2;-133.02832739100418
32;1.5853873159624143e-15;CTM;4;-133.02832738478364
32;1.5853873159624143e-15;CTM;8;-133.02832738478364
16;1.5853873159624143e-15;CTM;2;-133.02832739100418
16;1.5853873159624143e-15;CTM;4;-133.02832738478364
16;1.5853873159624143e-15;CTM;8;-133.02832738478364
64;1.5853873159624143e-15;BP;1;-133.03801582792684
32;1.5776691574985528e-15;BP;1;-133.0380158279269
64;1.5853873159624143e-15;BP;1;-133.03801582792684
