D;Delta;env;chi;eng
2;0.4941018727682285;BP;1;-142.47897765189342
4;0.266634844188355;BP;1;-136.06643901605108
8;0.12562007231176198;BP;1;-131.0696905559632
16;0.042866041762791456;BP;1;-128.69780259149397
32;0.008459956456050974;BP;1;-128.12365866258006
2;0.4941018727682285;CTM;2;-142.47646473096302
2;0.4941018727682285;CTM;4;-142.47667490309587
2;0.4941018727682285;CTM;8;-142.47667490309587
4;0.266634844188355;CTM;2;-136.06673467880788
4;0.266634844188355;CTM;4;-136.05854785584634
4;0.266634844188355;CTM;8;-136.057056143578
8;0.12562007231176198;CTM;2;-131.0774934663528
8;0.12562007231176198;CTM;4;-131.07613692444357
8;0.12562007231176198;CTM;8;-131.07606974320683
16;0.042866041762791456;CTM;2;-128.70030159954968
16;0.042866041762791456;CTM;4;-128.70292126706255
16;0.042866041762791456;CTM;8;-128.70151478814347
32;0.008459956456050974;CTM;2;-128.1250262914449
32;0.008459956456050974;CTM;4;-128.1285543016909
32;0.008459956456050974;CTM;8;-128.12844216261098
32;0.008459956456051066;BP;1;-128.12365866258008
64;0.0007202101099888796;BP;1;-128.0795655120441
