D;Delta;env;chi;eng
2;0.4143350318875954;BP;1;-142.6992632000083
4;0.188044413914003;BP;1;-136.590916661916
8;0.06922398383904647;BP;1;-133.17714131885563
16;0.01581577750547433;BP;1;-132.06196835971377
32;0.0013565551418275733;BP;1;-131.94225438484068
4;0.188044413914003;CTM;2;-136.59135397496615
4;0.188044413914003;CTM;4;-136.59162781101907
4;0.188044413914003;CTM;8;-136.5914648288821
2;0.4143350318875954;CTM;2;-142.6992153217266
2;0.4143350318875954;CTM;4;-142.69905821030727
2;0.4143350318875954;CTM;8;-142.69905821030727
16;0.01581577750547433;CTM;2;-132.06275159676298
16;0.01581577750547433;CTM;4;-132.06116200209755
16;0.01581577750547433;CTM;8;-132.05997075580026
8;0.06922398383904647;CTM;2;-133.17784673878276
8;0.06922398383904647;CTM;4;-133.1765983903125
8;0.06922398383904647;CTM;8;-133.17616585961935
32;0.0013565551418275733;CTM;2;-131.94331318532235
32;0.0013565551418275733;CTM;4;-131.9419842449116
32;0.0013565551418275733;CTM;8;-131.94031799971583
