D;Delta;env;chi;eng
4;0.21733166082409008;BP;1;-235.90723186252438
4;0.21733166082409008;MPS;2;-235.90747782927056
4;0.21733166082409008;MPS;4;-235.91016979079598
4;0.21733166082409008;CTM;2;-235.91008138957358
4;0.21733166082409008;MPS;6;-235.91032694775114
4;0.21733166082409008;CTM;4;-235.91034321566238
4;0.21733166082409008;CTM;6;-235.91032707337163
4;0.21733166082409008;MPS;8;-235.91035805978794
4;0.21733166082409008;CTM;8;-235.9103360366407
8;0.1560923321770788;BP;1;-234.94738430090297
8;0.1560923321770788;CTM;2;-234.94754571047218
8;0.1560923321770788;MPS;2;-234.94631728350046
8;0.1560923321770788;CTM;4;-234.9469724994083
8;0.1560923321770788;MPS;4;-234.94630715307136
8;0.1560923321770788;CTM;6;-234.9464258831181
16;0.10891385870975809;BP;1;-234.09439825741032
8;0.1560923321770788;CTM;8;-234.94646275837408
8;0.1560923321770788;MPS;6;-234.94633881477552
8;0.1560923321770788;MPS;8;-234.94647603010307
16;0.10891385870975809;CTM;2;-234.09703090766064
32;0.06659616438719762;BP;1;-233.36399858922366
16;0.10891385870975809;MPS;2;-234.0974936497884
16;0.10891385870975809;CTM;4;-234.09604877731942
16;0.10891385870975809;CTM;6;-234.097144989076
16;0.10891385870975809;MPS;4;-234.09774426987394
16;0.10891385870975809;CTM;8;-234.0979323867814
16;0.10891385870975809;MPS;6;-234.09617877089622
16;0.10891385870975809;MPS;8;-234.096691689628
32;0.06659616438719762;MPS;2;-233.37360952113738
32;0.06659616438719762;MPS;4;-233.37925313326042
32;0.06659616438719762;MPS;6;-233.37866978139783
32;0.06659616438719762;MPS;8;-233.37960471624817
32;0.06659616438719762;CTM;2;-233.36862351517783
