D;Delta;env;chi;eng
2;0.11842207088084307;BP;1;-117.95235234341091
4;8.416582012999304e-16;BP;1;-112.5458825717595
8;8.416582012999304e-16;BP;1;-112.5458825717595
16;8.416582012999304e-16;BP;1;-112.5458825717595
32;8.416582012999304e-16;BP;1;-112.5458825717595
2;0.11842207088084307;CTM;2;-117.95236877331882
2;0.11842207088084307;CTM;4;-117.95228790422264
2;0.11842207088084307;CTM;8;-117.95228790422264
4;8.416582012999304e-16;CTM;2;-112.48171366175357
4;8.416582012999304e-16;CTM;4;-112.48171366175357
4;8.416582012999304e-16;CTM;8;-112.48171366175357
8;8.416582012999304e-16;CTM;2;-112.48171366175357
8;8.416582012999304e-16;CTM;4;-112.48171366175357
8;8.416582012999304e-16;CTM;8;-112.48171366175357
16;8.416582012999304e-16;CTM;2;-112.48171366175357
16;8.416582012999304e-16;CTM;4;-112.48171366175357
16;8.416582012999304e-16;CTM;8;-112.48171366175357
32;8.416582012999304e-16;CTM;2;-112.48171366175357
32;8.416582012999304e-16;CTM;4;-112.48171366175357
32;8.416582012999304e-16;CTM;8;-112.48171366175357
