D;which;D2;which2;chi;Delta;Delta2;time;eng
4;BP;4;BP;1;0.3838682794239759;0.0;160.04237508773804;-180.77712110279262
4;BP;4;BP;2;0.3838682794239759;0.0;244.26880311965942;-180.7860855115533
4;NN+BP;4;NN+BP;4;0.38387806956467435;0.0;194.07130336761475;-180.78261182567783
8;BP;8;BP;2;0.26503194816563364;0.0;507.8590967655182;-179.43362693051205
8;BP;8;BP;1;0.26503194816563364;0.0;666.0611894130707;-179.43388810843408
8;NN+BP;8;NN+BP;8;0.26561516770668464;0.0;950.4057025909424;-179.4481058307004
12;NN+BP;12;NN+BP;12;0.20688083441937638;0.0;7653.312010526657;-178.76077354392518
16;BP;16;BP;1;0.16621750603903956;0.0;8258.61055970192;-178.22695338517894
16;BP;16;BP;2;0.16621750603903956;0.0;8678.224114179611;-178.2490148477021
4;BP;4;BP;2;0.2691857879265584;0.0;1022.9812190532684;-180.5943550954096
4;BP;4;BP;1;0.2691857879265584;0.0;1057.1659066677094;-180.58258190564644
8;BP;8;BP;2;0.18317148544767026;0.0;1284.6497943401337;-179.26978787916124
8;BP;8;BP;1;0.18317148544767026;0.0;1336.7525608539581;-179.25991931539454
16;BP;16;BP;1;0.1127964950333151;0.0;6570.207110404968;-178.0766053482068
16;BP;16;BP;2;0.1127964950333151;0.0;7081.1453557014465;-178.10044447346104
