D;Delta;env;chi;eng
4;0.0609643204053618;BP;1;-184.32129470450926
4;0.0609643204053618;MPS;2;-184.32128032933937
2;0.16937557215797885;BP;1;-187.616060728578
4;0.0609643204053618;CTM;2;-184.32076107864464
4;0.0609643204053618;MPS;4;-184.32087416266006
8;0.007625047848147773;BP;1;-182.86636686377273
4;0.0609643204053618;CTM;4;-184.32069168626552
2;0.16937557215797885;MPS;2;-187.61309361592
4;0.0609643204053618;MPS;8;-184.32071994277229
2;0.16937557215797885;MPS;4;-187.61305098187387
2;0.16937557215797885;MPS;8;-187.613051010534
2;0.16937557215797885;CTM;2;-187.61560650488676
8;0.007625047848147773;MPS;2;-182.86662668022933
2;0.16937557215797885;CTM;4;-187.61562488798518
2;0.16937557215797885;CTM;8;-187.61562488798518
4;0.0609643204053618;CTM;8;-184.3206911379329
8;0.007625047848147773;MPS;4;-182.8665857473603
8;0.007625047848147773;CTM;2;-182.8663380560938
32;4.059280867611205e-15;BP;1;-182.8148904211083
8;0.007625047848147773;CTM;4;-182.86628519939055
8;0.007625047848147773;MPS;8;-182.86635095304587
16;4.059280867611205e-15;BP;1;-182.8148904211083
8;0.007625047848147773;CTM;8;-182.8663451375373
32;4.059280867611205e-15;MPS;2;-182.81489485483914
32;4.059280867611205e-15;CTM;2;-182.8148107702373
16;4.059280867611205e-15;MPS;2;-182.81489485483914
16;4.059280867611205e-15;CTM;2;-182.8148107702373
32;4.059280867611205e-15;MPS;4;-182.81500706869429
16;4.059280867611205e-15;MPS;4;-182.81500706869429
32;4.059280867611205e-15;CTM;4;-182.81490492878612
16;4.059280867611205e-15;CTM;4;-182.81490492878612
32;4.059280867611205e-15;CTM;8;-182.81490492878615
16;4.059280867611205e-15;CTM;8;-182.81490492878615
32;4.059280867611205e-15;MPS;8;-182.8148461458261
16;4.059280867611205e-15;MPS;8;-182.8148461458261
64;4.194591149720663e-15;BP;1;-182.8148904211083
