D;Delta;env;chi;eng
2;0.10170298418233191;BP;1;-181.163211111705
4;0.03933354282724137;BP;1;-179.93910971200708
8;0.007100663480387032;BP;1;-179.5382687418685
16;0.0003612585632175476;BP;1;-179.50867608555907
32;6.9728344987675186e-15;BP;1;-179.5085692521245
2;0.10170298418233191;CTM;2;-181.16315375901695
2;0.10170298418233191;CTM;4;-181.1631581787518
2;0.10170298418233191;CTM;8;-181.1631581787518
4;0.03933354282724137;CTM;2;-179.93922171094056
4;0.03933354282724137;CTM;4;-179.93915101344982
4;0.03933354282724137;CTM;8;-179.93913254960924
8;0.007100663480387032;CTM;2;-179.5383244518088
8;0.007100663480387032;CTM;4;-179.53828004582692
8;0.007100663480387032;CTM;8;-179.53828386060746
16;0.0003612585632175476;CTM;2;-179.5087577417361
16;0.0003612585632175476;CTM;4;-179.50873892896453
16;0.0003612585632175476;CTM;8;-179.50870932630968
32;6.9728344987675186e-15;CTM;2;-179.50864588126345
32;6.9728344987675186e-15;CTM;4;-179.5086112802723
32;6.9728344987675186e-15;CTM;8;-179.50868201826387
32;6.961532554869559e-15;BP;1;-179.5085692521252
64;6.9728344987675186e-15;BP;1;-179.5085692521245
