D;Delta;env;chi;eng
2;0.2413018233047542;BP;1;-165.2717119517806
4;0.10117129915224243;BP;1;-163.4371203192384
8;0.03964129017841395;BP;1;-162.44184904340472
16;0.008278797203635188;BP;1;-162.08813858845608
32;0.000778387618849448;BP;1;-162.06081125973384
2;0.2413018233047542;CTM;2;-165.2705851969493
2;0.2413018233047542;CTM;4;-165.27051751537934
2;0.2413018233047542;CTM;8;-165.27051751537934
4;0.10117129915224243;CTM;2;-163.43675141662473
4;0.10117129915224243;CTM;4;-163.43677214857817
4;0.10117129915224243;CTM;8;-163.43677736837947
8;0.03964129017841395;CTM;2;-162.4425905343701
8;0.03964129017841395;CTM;4;-162.44259776479166
8;0.03964129017841395;CTM;8;-162.44245117355885
16;0.008278797203635188;CTM;2;-162.08868490566294
16;0.008278797203635188;CTM;4;-162.08832703767467
16;0.008278797203635188;CTM;8;-162.08831858424136
32;0.000778387618849448;CTM;2;-162.06147048219452
32;0.000778387618849448;CTM;4;-162.06120383082643
32;0.000778387618849448;CTM;8;-162.06108306167937
64;2.7159636197362114e-05;BP;1;-162.06038287754984
