D;Delta;env;chi;eng
2;0.23632412533611907;BP;1;-229.90747661370494
4;0.1105030556944925;BP;1;-227.91197488955837
8;0.05962016216116229;BP;1;-227.13635226855715
16;0.025706994722204404;BP;1;-226.69904858936638
32;0.007447230733735382;BP;1;-226.55999308687674
64;0.0014595140473488213;BP;1;-226.54197037102958
4;0.1105030556944925;CTM;2;-227.91219371610103
4;0.1105030556944925;CTM;4;-227.91220484356836
4;0.1105030556944925;CTM;8;-227.91221806137685
8;0.05962016216116229;CTM;2;-227.13661060424573
8;0.05962016216116229;CTM;2;-227.13661060424573
8;0.05962016216116229;CTM;4;-227.13606776861232
8;0.05962016216116229;CTM;4;-227.13606776861232
8;0.05962016216116229;CTM;8;-227.13614282678083
8;0.05962016216116229;CTM;8;-227.13614282678083
16;0.025706994722204404;CTM;2;-226.69922679710623
16;0.025706994722204404;CTM;2;-226.69922679710623
16;0.025706994722204404;CTM;4;-226.69908301403626
16;0.025706994722204404;CTM;4;-226.69908301403626
16;0.025706994722204404;CTM;8;-226.6991008643617
16;0.025706994722204404;CTM;8;-226.6991008643617
32;0.007447230733735382;CTM;2;-226.55998644420927
32;0.007447230733735382;CTM;2;-226.55998644420927
32;0.007447230733735382;CTM;4;-226.56020763958222
32;0.007447230733735382;CTM;4;-226.56020763958222
32;0.007447230733735382;CTM;8;-226.56022533687096
32;0.007447230733735382;CTM;8;-226.56022533687096
