D;Delta;env;chi;eng
4;0.04071025453019633;BP;1;-171.18905531827724
2;0.14087822700692798;BP;1;-175.29067677530557
16;1.6738270643558313e-15;BP;1;-169.995325136115
8;1.6738270643558313e-15;BP;1;-169.995325136115
32;1.6738270643558313e-15;BP;1;-169.995325136115
2;0.14087822700692798;CTM;2;-175.2907438607816
2;0.14087822700692798;CTM;4;-175.2907524094831
2;0.14087822700692798;CTM;8;-175.2907524094831
4;0.04071025453019633;CTM;2;-171.18904023343308
4;0.04071025453019633;CTM;4;-171.18907994868945
4;0.04071025453019633;CTM;8;-171.18907444343006
8;1.6738270643558313e-15;CTM;2;-169.98388556256327
8;1.6738270643558313e-15;CTM;4;-169.98388556070648
8;1.6738270643558313e-15;CTM;8;-169.98388556070648
16;1.6738270643558313e-15;CTM;2;-169.98388556256327
16;1.6738270643558313e-15;CTM;4;-169.98388556070648
16;1.6738270643558313e-15;CTM;8;-169.98388556070648
32;1.6738270643558313e-15;CTM;2;-169.98388556256327
32;1.6738270643558313e-15;CTM;4;-169.98388556070648
32;1.6738270643558313e-15;CTM;8;-169.98388556070648
