D;Delta;env;chi;eng
2;0.0985394996592273;BP;1;-135.30411762531145
8;0.006779141799333697;BP;1;-134.1228411028281
4;0.037525170947255354;BP;1;-134.37109117646816
16;0.00035812541769816684;BP;1;-134.10533010516414
32;7.638353641473194e-15;BP;1;-134.10526445551744
4;0.037525170947255354;CTM;2;-134.3713291852571
4;0.037525170947255354;CTM;4;-134.37154435099146
4;0.037525170947255354;CTM;8;-134.37155640846964
8;0.006779141799333697;CTM;2;-134.1229709019062
8;0.006779141799333697;CTM;4;-134.12305283317937
2;0.0985394996592273;CTM;2;-135.30407230324033
2;0.0985394996592273;CTM;4;-135.3040542461195
2;0.0985394996592273;CTM;8;-135.3040542461195
8;0.006779141799333697;CTM;8;-134.12306676377167
16;0.00035812541769816684;CTM;2;-134.10548981056468
16;0.00035812541769816684;CTM;4;-134.10545487294644
16;0.00035812541769816684;CTM;8;-134.10554884225095
32;7.638353641473194e-15;CTM;2;-134.1054242220909
32;7.638353641473194e-15;CTM;4;-134.105349450938
32;7.638353641473194e-15;CTM;8;-134.10543303106405
32;7.612374447688384e-15;BP;1;-134.10526445551767
64;7.638353641473194e-15;BP;1;-134.10526445551744
