D;Delta;env;chi;eng
2;0.2026755211586611;BP;1;-206.28185298953255
4;0.09071998691105923;BP;1;-202.54072909141078
8;0.024105206228142134;BP;1;-200.44074837260808
16;0.0017445096158881029;BP;1;-200.0994580652234
32;8.22679366742273e-15;BP;1;-200.09584061174317
2;0.2026755211586611;CTM;2;-206.2817373975743
2;0.2026755211586611;CTM;4;-206.28178644802188
2;0.2026755211586611;CTM;8;-206.28178644802188
4;0.09071998691105923;CTM;2;-202.53972281354203
4;0.09071998691105923;CTM;8;-202.53923146706313
4;0.09071998691105923;CTM;4;-202.53923578644842
8;0.024105206228142134;CTM;2;-200.44025716857368
8;0.024105206228142134;CTM;4;-200.43953769000348
8;0.024105206228142134;CTM;8;-200.43949939860582
16;0.0017445096158881029;CTM;2;-200.09897694847223
16;0.0017445096158881029;CTM;4;-200.09883770286254
16;0.0017445096158881029;CTM;8;-200.09868210002642
32;8.22679366742273e-15;CTM;2;-200.09535389167237
32;8.22679366742273e-15;CTM;4;-200.09519637789126
32;8.22679366742273e-15;CTM;8;-200.09504937955816
