D;Delta;env;chi;eng
2;0.3671445781902525;BP;1;-129.51235081332467
4;0.14655996324217985;BP;1;-119.9807031611706
16;5.7336450953813374e-15;BP;1;-114.8864373230776
8;0.029797438110597287;BP;1;-115.36907663418675
32;5.7336450953813374e-15;BP;1;-114.8864373230776
2;0.3671445781902525;CTM;2;-129.51295376780402
2;0.3671445781902525;CTM;4;-129.51199043982925
2;0.3671445781902525;CTM;8;-129.51199043982925
4;0.14655996324217985;CTM;2;-119.98262631806502
4;0.14655996324217985;CTM;4;-119.98400038377768
4;0.14655996324217985;CTM;8;-119.98330251326482
32;5.7336450953813374e-15;CTM;2;-114.88722235023357
32;5.7336450953813374e-15;CTM;4;-114.88476876214975
8;0.029797438110597287;CTM;2;-115.369403177606
32;5.7336450953813374e-15;CTM;8;-114.88476876214976
8;0.029797438110597287;CTM;4;-115.37059453065633
8;0.029797438110597287;CTM;8;-115.37094668967144
16;5.7336450953813374e-15;CTM;2;-114.88722235023357
16;5.7336450953813374e-15;CTM;4;-114.88476876214975
16;5.7336450953813374e-15;CTM;8;-114.88476876214976
32;5.6691862361372795e-15;BP;1;-114.88643732307757
64;5.7336450953813374e-15;BP;1;-114.8864373230776
