D;Delta;env;chi;eng
2;0.17218368563392406;BP;1;-166.81174428977997
4;0.08556828837491594;BP;1;-165.33003539313646
8;0.029015995466647994;BP;1;-164.29303168967724
16;0.003881888614084767;BP;1;-164.0114064665142
32;0.00019826930716013226;BP;1;-164.0018422714635
2;0.17218368563392406;CTM;2;-166.80991623753494
2;0.17218368563392406;CTM;4;-166.8099282728523
2;0.17218368563392406;CTM;8;-166.8099282728523
4;0.08556828837491594;CTM;2;-165.3272515949065
4;0.08556828837491594;CTM;4;-165.32718322761178
4;0.08556828837491594;CTM;8;-165.32722302902081
8;0.029015995466647994;CTM;2;-164.2915919244376
8;0.029015995466647994;CTM;4;-164.29179113811193
8;0.029015995466647994;CTM;8;-164.29178042765963
16;0.003881888614084767;CTM;2;-164.0107410749055
16;0.003881888614084767;CTM;4;-164.0109286973317
16;0.003881888614084767;CTM;8;-164.01020304529777
32;0.00019826930716013226;CTM;2;-164.00115206213684
32;0.00019826930716013226;CTM;4;-164.00099355985776
32;0.00019826930716013226;CTM;8;-164.00071487578936
64;1.2724040165831332e-14;BP;1;-164.0017923110917
