D;Delta;env;chi;eng
32;1.6490877568387866e-15;BP;1;-166.79780496200445
2;0.13021749262731663;BP;1;-170.52123593548004
8;1.6490877568387866e-15;BP;1;-166.79780496200445
16;1.6490877568387866e-15;BP;1;-166.79780496200445
4;0.03385237256852742;BP;1;-167.65844617413828
32;1.6490877568387866e-15;CTM;2;-166.7883270477098
32;1.6490877568387866e-15;CTM;4;-166.7883270451418
2;0.13021749262731663;MPS;2;-170.52062098274934
32;1.6490877568387866e-15;CTM;8;-166.7883270451418
2;0.13021749262731663;MPS;4;-170.52029994055232
32;1.6490877568387866e-15;MPS;4;-166.79782972433307
32;1.6490877568387866e-15;MPS;2;-166.7978202330768
2;0.13021749262731663;MPS;8;-170.5202999440339
2;0.13021749262731663;CTM;2;-170.52093740503696
2;0.13021749262731663;CTM;4;-170.52100603123483
2;0.13021749262731663;CTM;8;-170.52100603123483
8;1.6490877568387866e-15;CTM;2;-166.7883270477098
8;1.6490877568387866e-15;CTM;4;-166.7883270451418
8;1.6490877568387866e-15;MPS;2;-166.7978202330768
8;1.6490877568387866e-15;CTM;8;-166.7883270451418
16;1.6490877568387866e-15;CTM;2;-166.7883270477098
16;1.6490877568387866e-15;MPS;2;-166.7978202330768
8;1.6490877568387866e-15;MPS;4;-166.79782972433307
4;0.03385237256852742;MPS;2;-167.6591547323787
16;1.6490877568387866e-15;CTM;4;-166.7883270451418
16;1.6490877568387866e-15;CTM;8;-166.7883270451418
4;0.03385237256852742;MPS;4;-167.65852007370597
4;0.03385237256852742;CTM;2;-167.6584237079823
4;0.03385237256852742;MPS;8;-167.65843207857571
16;1.6490877568387866e-15;MPS;4;-166.79782972433307
4;0.03385237256852742;CTM;4;-167.65846964797808
4;0.03385237256852742;CTM;8;-167.65847933872803
32;1.6490877568387866e-15;MPS;8;-166.79780288312026
8;1.6490877568387866e-15;MPS;8;-166.79780288312026
16;1.6490877568387866e-15;MPS;8;-166.79780288312026
64;1.6214612441929266e-15;BP;1;-166.79780496200442
