D;Delta;env;chi;eng
2;0.15138581631608022;BP;1;-175.9678511308567
32;1.7000761747035746e-15;BP;1;-170.0515786975776
4;0.042899183482866844;BP;1;-171.37015751055625
8;1.7000761747035746e-15;BP;1;-170.0515786975776
16;1.7000761747035746e-15;BP;1;-170.0515786975776
2;0.15138581631608022;CTM;2;-175.96801311463958
2;0.15138581631608022;CTM;4;-175.9680670141906
2;0.15138581631608022;CTM;8;-175.9680670141906
4;0.042899183482866844;CTM;2;-171.37022280062925
4;0.042899183482866844;CTM;4;-171.37022699569366
4;0.042899183482866844;CTM;8;-171.37022251317535
8;1.7000761747035746e-15;CTM;2;-170.03797890997186
8;1.7000761747035746e-15;CTM;4;-170.03797891305544
8;1.7000761747035746e-15;CTM;8;-170.03797891305544
16;1.7000761747035746e-15;CTM;2;-170.03797890997186
16;1.7000761747035746e-15;CTM;4;-170.03797891305544
16;1.7000761747035746e-15;CTM;8;-170.03797891305544
32;1.7000761747035746e-15;CTM;2;-170.03797890997186
32;1.7000761747035746e-15;CTM;4;-170.03797891305544
32;1.7000761747035746e-15;CTM;8;-170.03797891305544
64;1.7000761747035746e-15;BP;1;-170.0515786975776
