D;Delta;env;chi;eng
2;0.17642687808917384;BP;1;-163.80919401464737
4;0.08850271506992957;BP;1;-162.59990056894293
8;0.030031790076938493;BP;1;-161.55003100839238
16;0.003990602325185315;BP;1;-161.28339210471847
32;0.000193126024098654;BP;1;-161.27477025245045
2;0.17642687808917384;CTM;2;-163.8088807819728
2;0.17642687808917384;CTM;4;-163.80885225627267
2;0.17642687808917384;CTM;8;-163.80885225627267
4;0.08850271506992957;CTM;2;-162.60000214225437
4;0.08850271506992957;CTM;4;-162.59991410235082
4;0.08850271506992957;CTM;8;-162.59984940034462
8;0.030031790076938493;CTM;2;-161.55024267120774
8;0.030031790076938493;CTM;4;-161.55044004389447
8;0.030031790076938493;CTM;8;-161.55040547155076
16;0.003990602325185315;CTM;2;-161.28387742812768
16;0.003990602325185315;CTM;4;-161.28381209757103
16;0.003990602325185315;CTM;8;-161.2837485672792
32;0.000193126024098654;CTM;2;-161.27528810439694
32;0.000193126024098654;CTM;4;-161.2751339677701
32;0.000193126024098654;CTM;8;-161.27523828582162
64;1.1784368726785326e-14;BP;1;-161.2747300985643
