D;Delta;env;chi;eng
32;2.5278723870394153e-16;BP;1;-83.21522492334459
16;2.5278723870394153e-16;BP;1;-83.21522492334459
2;2.5278723870394153e-16;BP;1;-83.21522492334459
8;2.5278723870394153e-16;BP;1;-83.21522492334459
4;2.5278723870394153e-16;BP;1;-83.21522492334459
32;2.5278723870394153e-16;CTM;2;-83.21522492334454
32;2.5278723870394153e-16;MPS;2;-83.21522492334458
32;2.5278723870394153e-16;CTM;8;-83.21522492334454
32;2.5278723870394153e-16;CTM;4;-83.21522492334454
32;2.5278723870394153e-16;MPS;4;-83.21522492334459
32;2.5278723870394153e-16;MPS;8;-83.21522492334459
16;2.5278723870394153e-16;CTM;4;-83.21522492334454
16;2.5278723870394153e-16;CTM;8;-83.21522492334454
16;2.5278723870394153e-16;MPS;2;-83.21522492334458
2;2.5278723870394153e-16;CTM;2;-83.21522492334454
16;2.5278723870394153e-16;MPS;8;-83.21522492334459
2;2.5278723870394153e-16;MPS;2;-83.21522492334458
16;2.5278723870394153e-16;MPS;4;-83.21522492334459
16;2.5278723870394153e-16;CTM;2;-83.21522492334454
2;2.5278723870394153e-16;CTM;4;-83.21522492334454
2;2.5278723870394153e-16;CTM;8;-83.21522492334454
2;2.5278723870394153e-16;MPS;4;-83.21522492334459
8;2.5278723870394153e-16;CTM;2;-83.21522492334454
2;2.5278723870394153e-16;MPS;8;-83.21522492334459
8;2.5278723870394153e-16;CTM;4;-83.21522492334454
8;2.5278723870394153e-16;MPS;2;-83.21522492334458
8;2.5278723870394153e-16;CTM;8;-83.21522492334454
8;2.5278723870394153e-16;MPS;4;-83.21522492334459
8;2.5278723870394153e-16;MPS;8;-83.21522492334459
4;2.5278723870394153e-16;CTM;2;-83.21522492334454
4;2.5278723870394153e-16;CTM;4;-83.21522492334454
4;2.5278723870394153e-16;MPS;4;-83.21522492334459
4;2.5278723870394153e-16;CTM;8;-83.21522492334454
4;2.5278723870394153e-16;MPS;8;-83.21522492334459
4;2.5278723870394153e-16;MPS;2;-83.21522492334458
64;2.684114180368906e-16;BP;1;-83.21522492334458
64;2.684114180368906e-16;BP;1;-83.21522492334458
