D;Delta;env;chi;eng
2;0.17319249560562835;BP;1;-170.1112213573655
4;0.08614354397303117;BP;1;-168.93652897509097
8;0.03494142103481443;BP;1;-168.1513171373497
16;0.00676918536027922;BP;1;-167.84396913914821
32;0.0006358603552100326;BP;1;-167.8226865453712
2;0.17319249560562835;CTM;2;-170.1095306684828
2;0.17319249560562835;CTM;4;-170.10955506100203
2;0.17319249560562835;CTM;8;-170.10955506100203
4;0.08614354397303117;CTM;2;-168.93382300147758
4;0.08614354397303117;CTM;4;-168.93400036642277
4;0.08614354397303117;CTM;8;-168.9339544121624
8;0.03494142103481443;CTM;2;-168.1488249535727
8;0.03494142103481443;CTM;4;-168.14980980183987
8;0.03494142103481443;CTM;8;-168.1496582877567
16;0.00676918536027922;CTM;2;-167.84255049545098
16;0.00676918536027922;CTM;4;-167.8428126283277
16;0.00676918536027922;CTM;8;-167.84253312347656
32;0.0006358603552100326;CTM;2;-167.8213253888989
32;0.0006358603552100326;CTM;4;-167.8213870977968
32;0.0006358603552100326;CTM;8;-167.8208650514166
64;2.3670278599655487e-05;BP;1;-167.82233393546412
