D;Delta;env;chi;eng
2;0.4353102155856645;BP;1;-134.6574947717735
4;0.1960344444185119;BP;1;-126.44418541839798
8;0.06390058770734222;BP;1;-121.72817033958148
16;0.009059366703664664;BP;1;-120.44695732294348
32;9.96416319443735e-15;BP;1;-120.39275452846645
2;0.4353102155856645;CTM;2;-134.658331331966
2;0.4353102155856645;CTM;4;-134.6585603249225
2;0.4353102155856645;CTM;8;-134.6585603249225
16;0.009059366703664664;CTM;2;-120.44985406923605
16;0.009059366703664664;CTM;4;-120.45007101145433
8;0.06390058770734222;CTM;2;-121.73100579695398
8;0.06390058770734222;CTM;4;-121.73007922112178
8;0.06390058770734222;CTM;8;-121.73064173260856
4;0.1960344444185119;CTM;2;-126.44713543271678
4;0.1960344444185119;CTM;4;-126.44557720601652
4;0.1960344444185119;CTM;8;-126.44616351556098
16;0.009059366703664664;CTM;8;-120.45024471533316
32;9.96416319443735e-15;CTM;2;-120.39555129934331
32;9.96416319443735e-15;CTM;4;-120.39489482998563
32;9.96416319443735e-15;CTM;8;-120.39454002242644
32;9.8743656675712e-15;BP;1;-120.39275452846661
