D;Delta;env;chi;eng
2;2.9432580224586926e-16;BP;1;-81.21126088978508
4;2.9432580224586926e-16;BP;1;-81.21126088978508
8;2.9432580224586926e-16;BP;1;-81.21126088978508
16;2.9432580224586926e-16;BP;1;-81.21126088978508
32;2.9432580224586926e-16;BP;1;-81.21126088978508
2;2.9432580224586926e-16;CTM;2;-81.2112608897851
2;2.9432580224586926e-16;CTM;4;-81.2112608897851
2;2.9432580224586926e-16;CTM;8;-81.2112608897851
4;2.9432580224586926e-16;CTM;2;-81.2112608897851
4;2.9432580224586926e-16;CTM;4;-81.2112608897851
4;2.9432580224586926e-16;CTM;8;-81.2112608897851
8;2.9432580224586926e-16;CTM;2;-81.2112608897851
8;2.9432580224586926e-16;CTM;4;-81.2112608897851
8;2.9432580224586926e-16;CTM;8;-81.2112608897851
16;2.9432580224586926e-16;CTM;2;-81.2112608897851
16;2.9432580224586926e-16;CTM;4;-81.2112608897851
16;2.9432580224586926e-16;CTM;8;-81.2112608897851
32;2.9432580224586926e-16;CTM;2;-81.2112608897851
32;2.9432580224586926e-16;CTM;4;-81.2112608897851
32;2.9432580224586926e-16;CTM;8;-81.2112608897851
32;2.8769021573437375e-16;BP;1;-81.21126088978508
64;2.9432580224586926e-16;BP;1;-81.21126088978508
