D;which;D2;which2;chi;Delta;Delta2;time;eng
1;BP;1;BP;2;3.1265415618968553;0.0;306.24173069000244;-190.04662425906457
1;BP;1;BP;1;3.1265415618968553;0.0;311.07087802886963;-190.04662425906454
1;BP;1;BP;4;3.1265415618968553;0.0;323.0429701805115;-190.04662425906457
2;BP;2;BP;1;0.2765166511137685;0.0;326.64818954467773;-191.35488394858857
2;BP;2;BP;4;0.2765166511137685;0.0;339.17101430892944;-191.35562905077165
2;BP;2;BP;2;0.2765166511137685;0.0;376.5015745162964;-191.35562179022284
4;BP;4;BP;2;0.11062746608116847;0.0;345.42928433418274;-191.0783647107398
4;BP;4;BP;1;0.11062746608116847;0.0;351.2703878879547;-191.0764682715014
4;BP;4;BP;4;0.11062746608116847;0.0;352.41583132743835;-191.07674468915377
8;BP;8;BP;1;0.07709652589472075;0.0;505.6553554534912;-190.96527489662606
8;BP;8;BP;2;0.07709652589472075;0.0;534.5238108634949;-190.95953675977344
8;BP;8;BP;4;0.07709652589472075;0.0;521.1483142375946;-190.94977569229968
16;BP;16;BP;2;0.058553390994408955;0.0;809.8105018138885;-190.74765647332836
16;BP;16;BP;1;0.058553390994408955;0.0;817.7537431716919;-190.88014455339948
16;BP;16;BP;4;0.058553390994408955;0.0;892.927973985672;-190.70674773978288
32;BP;32;BP;1;0.04264619573820828;0.0;2952.4154698848724;-190.8007682127251
32;BP;32;BP;2;0.04264619573820828;0.0;3339.335829973221;-190.84097067097258
32;BP;32;BP;4;0.04264619573820828;0.0;5306.308419942856;-190.7878323515894
64;BP;64;BP;1;0.027614210821515252;0.0;27431.060761213303;-190.72393934929585
64;BP;64;BP;2;0.027614210821515252;0.0;40624.13686108589;-188.16428437458075
64;BP;64;BP;4;0.027614210821515252;0.0;114976.17057490349;-190.68347296633667
128;BP;128;BP;1;0.015290300885221604;0.0;261156.8130619526;-190.67163844740946
