D;which;D2;which2;chi;Delta;Delta2;time;eng
4;NN+;4;NN+;16;0.12372911359307529;0.0;117.71821880340576;-146.8420929768128
4;LBP;4;LBP;16;0.12378014278878996;0.0;138.84535241127014;-146.84309400039493
4;NN+LBP;4;NN+LBP;16;0.12378121947777357;0.0;173.68622016906738;-146.84293988851925
6;NN+;6;NN+;24;0.06240145075367777;0.0;869.3647100925446;-146.06460681581552
6;LBP;6;LBP;24;0.06247528442532141;0.0;936.2101113796234;-146.06409919687704
6;NN+LBP;6;NN+LBP;24;0.06247622747055634;0.0;987.8354904651642;-146.0640497018856
8;NN+;8;NN+;32;0.028282000682277292;0.0;5818.893710613251;-145.65917330436076
8;LBP;8;LBP;32;0.028332794310664006;0.0;5920.881884098053;-145.65912790953888
8;NN+LBP;8;NN+LBP;32;0.028336053908282137;0.0;6018.637198925018;-145.6589832184261
10;LBP;10;LBP;40;0.013994335763670387;0.0;22686.62972998619;-145.5585080832311
10;NN+;10;NN+;40;0.01395420055713502;0.0;22713.583313703537;-145.55855628503505
10;NN+LBP;10;NN+LBP;40;0.013995465264935145;0.0;22851.60103368759;-145.5584742467343
4;LBP;4;LBP;1;0.12378014278878996;0.0;47.3680465221405;-146.84099881838767
6;LBP;6;LBP;1;0.06247528442532141;0.0;64.8585934638977;-146.06264670573663
8;LBP;8;LBP;1;0.028332794310664006;0.0;120.48810148239136;-145.65857684394962
10;LBP;10;LBP;1;0.013994335763670387;0.0;173.59113335609436;-145.55847517216833
12;LBP;12;LBP;1;0.006823099398356865;0.0;302.28337049484253;-145.52664731092716
16;LBP;16;LBP;1;0.0017457970343051346;0.0;1120.3676278591156;-145.51591273151078
32;LBP;32;LBP;1;2.7939222970873368e-14;0.0;8373.847686767578;-145.5146300289424
12;LBP;12;LBP;48;0.006823099398356865;0.0;65202.276348114014;-145.52669836085047
12;NN+;12;NN+;48;0.006793723649749503;0.0;65398.75654387474;-145.52676222973972
12;NN+LBP;12;NN+LBP;48;0.00682396880750048;0.0;65633.92602658272;-145.52675236057635
