D;Delta;env;chi;eng
2;0.15349092382853893;BP;1;-164.86154694019044
4;0.07789214538901611;BP;1;-163.4541103722694
8;0.02555647398004847;BP;1;-162.56319814274298
16;0.0029889531181061762;BP;1;-162.3351196463795
32;0.00014204464703157288;BP;1;-162.32928881604124
2;0.15349092382853893;CTM;2;-164.85943202425582
2;0.15349092382853893;CTM;4;-164.85945435899248
2;0.15349092382853893;CTM;8;-164.85945435899248
4;0.07789214538901611;CTM;2;-163.45134807979775
4;0.07789214538901611;CTM;4;-163.45117395570907
4;0.07789214538901611;CTM;8;-163.45119446228873
8;0.02555647398004847;CTM;2;-162.56176758118505
8;0.02555647398004847;CTM;4;-162.56137547905863
8;0.02555647398004847;CTM;8;-162.5611835713569
16;0.0029889531181061762;CTM;2;-162.3347862904838
16;0.0029889531181061762;CTM;4;-162.33494608896524
16;0.0029889531181061762;CTM;8;-162.33476191247365
32;0.00014204464703157288;CTM;2;-162.32888587798405
32;0.00014204464703157288;CTM;4;-162.32894100461831
32;0.00014204464703157288;CTM;8;-162.32877557247204
