D;Delta;env;chi;eng
2;0.47594024353165976;BP;1;-143.20454436563577
4;0.23296744603293185;BP;1;-134.75802150382822
8;0.09381339817525639;BP;1;-129.94514987146925
16;0.02400033278702935;BP;1;-128.08037500805574
32;0.00246556960944781;BP;1;-127.8282352783784
2;0.47594024353165976;CTM;2;-143.2042721893225
2;0.47594024353165976;CTM;4;-143.20386260201028
2;0.47594024353165976;CTM;8;-143.20386260201028
4;0.23296744603293185;CTM;2;-134.75991526951594
4;0.23296744603293185;CTM;4;-134.76054704101864
4;0.23296744603293185;CTM;8;-134.76018230577057
16;0.02400033278702935;CTM;2;-128.08061892286986
16;0.02400033278702935;CTM;4;-128.07780883213246
16;0.02400033278702935;CTM;8;-128.07690687524777
32;0.00246556960944781;CTM;2;-127.82878674354728
8;0.09381339817525639;CTM;2;-129.94487470787672
8;0.09381339817525639;CTM;4;-129.94310141277737
8;0.09381339817525639;CTM;8;-129.94244634184872
32;0.00246556960944781;CTM;4;-127.82654663568141
32;0.00246556960944781;CTM;8;-127.82481177636508
