D;Delta;env;chi;eng
2;0.2678798704371145;BP;1;-192.0737342541286
4;0.08509332756142389;BP;1;-191.88239753602653
8;0.057257988526710726;BP;1;-191.82375612647903
16;0.0447382058328122;BP;1;-191.7885555146665
32;0.03455508482101965;BP;1;-191.7552165720359
16;0.0447382058328122;MPS;2;-178.00577925718864
16;0.0447382058328122;CTM;2;-191.7905854741219
16;0.0447382058328122;MPS;4;-182.95388360810605
16;0.0447382058328122;CTM;4;-191.7846732275138
16;0.0447382058328122;MPS;8;-191.3745128856058
16;0.0447382058328122;CTM;8;-191.7836146853246
32;0.03455508482101965;MPS;2;-175.5675973909534
32;0.03455508482101965;CTM;2;-191.75719378982924
32;0.03455508482101965;MPS;4;-184.84421823350687
64;0.024360184748151124;BP;1;-191.71940011227662
32;0.03455508482101965;CTM;4;-191.7478779027303
32;0.03455508482101965;MPS;8;-191.67817481390335
64;0.024360184748151124;BP;1;-191.71940011227662
