D;Delta;env;chi;eng
4;0.20039924111858398;BP;1;-206.06710342900718
2;0.4255565033837423;BP;1;-212.53933415214357
4;0.20039924111858398;CTM;2;-206.06249392394744
4;0.20039924111858398;MPS;2;-206.0635448298038
4;0.20039924111858398;MPS;4;-206.0605979823323
4;0.20039924111858398;CTM;4;-206.0600257854389
4;0.20039924111858398;MPS;8;-206.06068023095744
4;0.20039924111858398;CTM;8;-206.05980871357002
2;0.4255565033837423;MPS;2;-212.54151304072363
2;0.4255565033837423;MPS;4;-212.54207763281116
2;0.4255565033837423;CTM;4;-212.53879131929193
2;0.4255565033837423;CTM;2;-212.538224311221
2;0.4255565033837423;MPS;8;-212.54207765413852
2;0.4255565033837423;CTM;8;-212.53879131929193
8;0.09336681143864484;BP;1;-202.5982829539432
8;0.09336681143864484;CTM;2;-202.59372069093007
8;0.09336681143864484;MPS;2;-202.59142101362227
8;0.09336681143864484;CTM;4;-202.59126651974302
16;0.03260532318924969;BP;1;-200.98485545645025
8;0.09336681143864484;MPS;4;-202.58627674686204
8;0.09336681143864484;MPS;8;-202.58882332004006
8;0.09336681143864484;CTM;8;-202.5915982219171
16;0.03260532318924969;MPS;2;-200.97847382970065
16;0.03260532318924969;CTM;2;-200.97930670524062
16;0.03260532318924969;MPS;4;-200.97405326564916
16;0.03260532318924969;CTM;4;-200.97624371674166
32;0.006730572569122949;BP;1;-200.59795189494068
16;0.03260532318924969;MPS;8;-200.97547587788674
16;0.03260532318924969;CTM;8;-200.97614901329334
32;0.006730572569122949;MPS;2;-200.59169042642708
32;0.006730572569122949;CTM;2;-200.59266280776657
32;0.006730572569122949;MPS;4;-200.58809666647747
32;0.006730572569122949;CTM;4;-200.5905115305618
32;0.006730572569122949;MPS;8;-200.58912188149588
32;0.006730572569122949;CTM;8;-200.58972670405646
64;0.0007531385682475392;BP;1;-200.56820626993252
64;0.0007531385682475392;BP;1;-200.56820626993252
