D;Delta;env;chi;eng
2;2.855584193544591e-16;BP;1;-84.77333730008569
4;2.855584193544591e-16;BP;1;-84.77333730008569
8;2.855584193544591e-16;BP;1;-84.77333730008569
16;2.855584193544591e-16;BP;1;-84.77333730008569
32;2.855584193544591e-16;BP;1;-84.77333730008569
2;2.855584193544591e-16;CTM;2;-84.77333730008569
2;2.855584193544591e-16;CTM;4;-84.77333730008569
2;2.855584193544591e-16;CTM;8;-84.77333730008569
4;2.855584193544591e-16;CTM;2;-84.77333730008569
4;2.855584193544591e-16;CTM;4;-84.77333730008569
4;2.855584193544591e-16;CTM;8;-84.77333730008569
8;2.855584193544591e-16;CTM;2;-84.77333730008569
8;2.855584193544591e-16;CTM;4;-84.77333730008569
8;2.855584193544591e-16;CTM;8;-84.77333730008569
16;2.855584193544591e-16;CTM;2;-84.77333730008569
16;2.855584193544591e-16;CTM;4;-84.77333730008569
16;2.855584193544591e-16;CTM;8;-84.77333730008569
32;2.855584193544591e-16;CTM;2;-84.77333730008569
32;2.855584193544591e-16;CTM;4;-84.77333730008569
32;2.855584193544591e-16;CTM;8;-84.77333730008569
32;3.0742979831691234e-16;BP;1;-84.77333730008571
