D;Delta;env;chi;eng
2;0.13607177233088041;BP;1;-137.40153100003613
4;0.03759866487375341;BP;1;-134.50876615584102
8;1.5858956022002873e-15;BP;1;-133.72100076962732
32;1.5858956022002873e-15;BP;1;-133.72100076962732
16;1.5858956022002873e-15;BP;1;-133.72100076962732
2;0.13607177233088041;CTM;2;-137.40171143678597
2;0.13607177233088041;CTM;4;-137.40177699919138
2;0.13607177233088041;CTM;8;-137.40177699919138
4;0.03759866487375341;CTM;2;-134.50882627738739
4;0.03759866487375341;CTM;8;-134.50892060562634
4;0.03759866487375341;CTM;4;-134.5088685549707
8;1.5858956022002873e-15;CTM;2;-133.708849147788
8;1.5858956022002873e-15;CTM;4;-133.7088491393301
8;1.5858956022002873e-15;CTM;8;-133.7088491393301
16;1.5858956022002873e-15;CTM;2;-133.708849147788
16;1.5858956022002873e-15;CTM;4;-133.7088491393301
16;1.5858956022002873e-15;CTM;8;-133.7088491393301
32;1.5858956022002873e-15;CTM;2;-133.708849147788
32;1.5858956022002873e-15;CTM;4;-133.7088491393301
32;1.5858956022002873e-15;CTM;8;-133.7088491393301
