D;Delta;env;chi;eng
2;0.12079815948395985;BP;1;-148.66295991445588
16;9.33747437810501e-16;BP;1;-141.54861893709392
4;9.33747437810501e-16;BP;1;-141.54861893709392
8;9.33747437810501e-16;BP;1;-141.54861893709392
32;9.33747437810501e-16;BP;1;-141.54861893709392
2;0.12079815948395985;CTM;2;-148.66291446297535
2;0.12079815948395985;CTM;4;-148.6629138135717
2;0.12079815948395985;CTM;8;-148.6629138135717
4;9.33747437810501e-16;CTM;2;-141.41735549909933
4;9.33747437810501e-16;CTM;4;-141.41735549909933
4;9.33747437810501e-16;CTM;8;-141.41735549909933
8;9.33747437810501e-16;CTM;2;-141.41735549909933
8;9.33747437810501e-16;CTM;4;-141.41735549909933
8;9.33747437810501e-16;CTM;8;-141.41735549909933
16;9.33747437810501e-16;CTM;2;-141.41735549909933
16;9.33747437810501e-16;CTM;4;-141.41735549909933
16;9.33747437810501e-16;CTM;8;-141.41735549909933
32;9.33747437810501e-16;CTM;2;-141.41735549909933
32;9.33747437810501e-16;CTM;4;-141.41735549909933
32;9.33747437810501e-16;CTM;8;-141.41735549909933
32;8.808047865389593e-16;BP;1;-141.54861893709392
64;9.33747437810501e-16;BP;1;-141.54861893709392
