D;Delta;env;chi;eng
2;0.16345838038780924;BP;1;-213.2144021529755
4;0.0787304769374698;BP;1;-211.74905210452567
8;0.027734530982256454;BP;1;-210.8432895359988
16;0.004977095907456711;BP;1;-210.58732128655507
32;0.0004140850127120855;BP;1;-210.57322327468464
4;0.0787304769374698;CTM;2;-211.74892948651242
4;0.0787304769374698;CTM;4;-211.7488379533728
4;0.0787304769374698;CTM;8;-211.7488271214884
8;0.027734530982256454;CTM;2;-210.8431545265079
8;0.027734530982256454;CTM;4;-210.84331429484308
8;0.027734530982256454;CTM;8;-210.84325679396818
2;0.16345838038780924;CTM;2;-213.21465893138677
2;0.16345838038780924;CTM;4;-213.21483920587988
2;0.16345838038780924;CTM;8;-213.21483920587988
16;0.004977095907456711;CTM;2;-210.58742807805427
16;0.004977095907456711;CTM;4;-210.58744672367288
16;0.004977095907456711;CTM;8;-210.58753603343501
32;0.0004140850127120855;CTM;2;-210.5732268593718
32;0.0004140850127120855;CTM;4;-210.573285814429
32;0.0004140850127120855;CTM;8;-210.57335052893728
