D;which;D2;which2;chi;Delta;Delta2;time;eng
4;NN+;4;NN+;16;0.29983722951081354;0.0;60.97635078430176;-163.29448040409034
4;BP;4;BP;16;0.29751663354366437;0.0;153.82400250434875;-163.27542927753763
6;NN+;6;NN+;24;0.2054379778493162;0.0;157.3534641265869;-161.84245957613837
4;NN+BP;4;NN+BP;16;0.29738582440604444;0.0;195.04125452041626;-163.2726977208461
6;BP;6;BP;24;0.19946017109718356;0.0;214.22414231300354;-161.83352479659564
6;NN+BP;6;NN+BP;24;0.19944202060726762;0.0;304.54337978363037;-161.82909788853271
8;BP;8;BP;32;0.15107826964621263;0.0;898.0279698371887;-161.0600490770228
8;NN+;8;NN+;32;0.15784831548528427;0.0;974.4008853435516;-161.06283214642463
8;NN+BP;8;NN+BP;32;0.15106064701463795;0.0;1124.644905090332;-161.06098265598055
10;BP;10;BP;40;0.12007298433423791;0.0;4257.152953386307;-160.5941797326652
10;NN+;10;NN+;40;0.12780712607077938;0.0;4614.093206167221;-160.61307822304093
10;NN+BP;10;NN+BP;40;0.12010677798569684;0.0;4790.123442411423;-160.59580943114648
12;BP;12;BP;48;0.09746764348462396;0.0;18597.371275901794;-160.28087767583466
12;NN+;12;NN+;48;0.10497739700608076;0.0;19671.239538908005;-160.30237019531526
12;NN+BP;12;NN+BP;48;0.09752350904631174;0.0;19899.1797850132;-160.28130928224192
4;BP;4;BP;1;0.29751663354366437;0.0;163.34678411483765;-163.26151414208488
6;BP;6;BP;1;0.19946017109718356;0.0;168.4979338645935;-161.81972164643997
8;BP;8;BP;1;0.15107826964621263;0.0;190.82127380371094;-161.04958014153178
10;BP;10;BP;1;0.12007298433423791;0.0;208.16423225402832;-160.58790499306323
12;BP;12;BP;1;0.09746764348462396;0.0;232.86951065063477;-160.27621361799396
16;BP;16;BP;1;0.067245209516512;0.0;326.8827602863312;-159.8866537525454
32;BP;32;BP;1;0.020800840055791466;0.0;1729.6949875354767;-159.4190243976285
32;BP;32;BP;2;0.020800840055787497;0.0;1285.6170592308044;-159.43200221841806
32;BP;32;BP;4;0.020800840055787497;0.0;2513.430423974991;-159.43499550864684
64;BP;64;BP;1;0.004260672148157162;0.0;9279.655925989151;-159.33813338014207
64;BP;64;BP;2;0.004260672148157162;0.0;18583.075876235962;-159.35030996374502
128;BP;128;BP;1;0.0005640981243045459;0.0;73354.56800055504;-159.33236434247812
